 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,0,NaN,NaN,4536,NaN,NaN,0,1,93,255
2,64,421.203,532.922,4536,11.328,7.194,66.464,2,93,255
3,1,143.5,494.5,4536,1.128,1.128,0,3,93,255
4,34,527.324,877.588,4536,17.788,2.434,56.332,4,93,255
5,30,592.633,526.3,4536,9.086,4.204,68.291,5,93,255
6,77,560.149,344.435,4536,73.275,1.338,88.096,6,93,255
7,28,532.357,374.429,4536,18.687,1.908,74.541,7,93,255
8,130,546.9,258.538,4536,37.744,4.385,52.556,8,93,255
9,23,605.109,229.674,4536,8.527,3.434,165.347,9,93,255
10,15,536.7,276.767,4536,5.731,3.333,150.965,10,93,255
11,91,798.28,630.159,4536,46.298,2.503,126.565,11,93,255
12,172,637.407,610.942,4536,35.308,6.202,87.463,12,93,255
13,98,1025.878,324.173,4536,98.36,1.269,102.101,13,93,255
14,0,NaN,NaN,4536,NaN,NaN,0,14,93,255
15,20,745.15,881.9,4536,24.486,1.04,77.976,15,93,255
16,109,983.17,818.647,4536,14.953,9.281,28.18,16,93,255
17,65,862.162,428.485,4536,77.122,1.073,160.263,17,93,255
18,134,685.701,510.075,4536,61.612,2.769,93.617,18,93,255
19,65,919.038,389.269,4536,27.452,3.015,147.79,19,93,255
20,26,677.731,589.769,4536,6.716,4.929,42.163,20,93,255
21,41,853.085,642.329,4536,27.399,1.905,7.501,21,93,255
22,23,457.457,741.326,4536,6.343,4.617,55.721,22,93,255
23,1,0.5,0.5,4536,1.128,1.128,0,23,93,255
24,21,959.833,682.976,4536,5.383,4.967,13.081,24,93,255
25,3,1236.833,268.167,4536,2.365,1.615,135,25,93,255
26,180,784.572,388.7,4536,94.647,2.421,72.518,26,93,255
27,55,660.082,606.3,4536,9.225,7.591,9.312,27,93,255
28,0,NaN,NaN,4536,NaN,NaN,0,28,93,255
29,6,656,607.5,4536,3.385,2.257,90,29,93,255
30,46,660.413,590.761,4536,9.859,5.941,158.648,30,93,255
31,31,661.726,601.887,4536,7.275,5.426,112.77,31,93,255
32,11,717.409,143.591,4536,46.524,0.301,82.684,32,93,255
33,0,NaN,NaN,4536,NaN,NaN,0,33,93,255
34,109,613.894,651.491,4536,14.949,9.284,130.944,34,93,255
35,0,NaN,NaN,4536,NaN,NaN,0,35,93,255
36,39,870.5,900.833,4536,17.342,2.863,2.421,36,93,255
37,126,235.048,526.127,4536,157.842,1.016,93.208,37,93,255
38,99,96.126,562.359,4536,16.686,7.554,123.846,38,93,255
39,128,1004.742,555.781,4536,84.079,1.938,152.094,39,93,255
40,47,594.479,266.266,4536,12.164,4.92,20.392,40,93,255
41,32,44.406,207.344,4536,11.184,3.643,162.15,41,93,255
42,43,695.965,117.57,4536,10.287,5.322,91.146,42,93,255
43,187,743.58,595.104,4536,20.154,11.814,101.091,43,93,255
44,172,725.61,818.953,4536,73.994,2.96,28.098,44,93,255
45,239,436.01,708.885,4536,27.824,10.937,32.719,45,93,255
46,82,689.183,755.976,4536,26.257,3.976,28.997,46,93,255
47,178,486.764,585.051,4536,159.619,1.42,58.469,47,93,255
48,123,610.963,566.833,4536,40.754,3.843,120.188,48,93,255
49,4,750.5,971.25,4536,2.734,1.863,0,49,93,255
50,122,879.844,602.943,4536,20.394,7.617,171.798,50,93,255
