 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,0,NaN,NaN,4536,NaN,NaN,0,1,129,255
2,96,826.552,383.938,4536,13.94,8.769,40.39,2,129,255
3,12,983,197,4536,3.909,3.909,0,3,129,255
4,118,677.5,710.373,4536,19.01,7.903,64.881,4,129,255
5,137,732.96,670.018,4536,26.264,6.642,71.609,5,129,255
6,109,628.5,380.023,4536,24.963,5.56,112.298,6,129,255
7,47,562.989,774.628,4536,11.057,5.412,67.596,7,129,255
8,105,679.348,732.624,4536,89.259,1.498,71.516,8,129,255
9,5,505.3,499.5,4536,55.971,0.114,115.231,9,129,255
10,55,638.118,752.736,4536,20.922,3.347,40.682,10,129,255
11,55,642.264,755.245,4536,11.424,6.13,74.934,11,129,255
12,0,NaN,NaN,4536,NaN,NaN,0,12,129,255
13,74,648.365,760.824,4536,13.571,6.943,174.627,13,129,255
14,11,650.136,769.045,4536,4.019,3.485,177.28,14,129,255
15,124,529.887,822.226,4536,48.477,3.257,24.476,15,129,255
16,146,450.411,433.295,4536,167.353,1.111,120.541,16,129,255
17,58,661.379,769.328,4536,10.787,6.846,63.063,17,129,255
18,106,539.594,706.283,4536,15.825,8.528,73.625,18,129,255
19,90,660.767,762.733,4536,15.473,7.406,105.121,19,129,255
20,66,658.015,679.409,4536,74.382,1.13,96.839,20,129,255
21,91,687.423,529.907,4536,15.865,7.303,56.47,21,129,255
22,157,613.347,654.264,4536,46.941,4.259,120.859,22,129,255
23,40,677.825,762.8,4536,8.847,5.757,177.516,23,129,255
24,16,825.812,155,4536,41.926,0.486,176.159,24,129,255
25,20,317.6,706.7,4536,68.678,0.371,44.905,25,129,255
26,5,31.9,640.7,4536,3.769,1.689,136.59,26,129,255
27,97,563.974,620.448,4536,50.892,2.427,132.212,27,129,255
28,78,610.256,566.167,4536,16.607,5.98,72.309,28,129,255
29,0,NaN,NaN,4536,NaN,NaN,0,29,129,255
30,32,1192.469,579.719,4536,55.428,0.735,79.915,30,129,255
31,64,141.125,490.656,4536,15.875,5.133,9.273,31,129,255
32,31,259.145,133.016,4536,6.943,5.685,74.92,32,129,255
33,96,662.542,818.031,4536,89.353,1.368,69.055,33,129,255
34,0,NaN,NaN,4536,NaN,NaN,0,34,129,255
35,8,802.625,327.625,4536,3.538,2.879,45,35,129,255
36,189,579.992,574.193,4536,77.85,3.091,160.813,36,129,255
37,53,817.84,764.953,4536,11.919,5.662,67.295,37,129,255
38,34,811.029,805.235,4536,60.27,0.718,136.057,38,129,255
39,172,417.087,229.047,4536,71.699,3.054,38.875,39,129,255
40,62,305.484,168.645,4536,11.218,7.037,85.463,40,129,255
41,88,768.602,404.307,4536,103.852,1.079,74.96,41,129,255
42,6,821.667,250.333,4536,3.14,2.433,45,42,129,255
