 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,0,NaN,NaN,4536,NaN,NaN,0.000,1,129,255
2,0,NaN,NaN,4536,NaN,NaN,0.000,2,129,255
3,0,NaN,NaN,4536,NaN,NaN,0.000,3,129,255
4,0,NaN,NaN,4536,NaN,NaN,0.000,4,129,255
5,0,NaN,NaN,4536,NaN,NaN,0.000,5,129,255
6,0,NaN,NaN,4536,NaN,NaN,0.000,6,129,255
7,7,161.929,555.214,4536,5.059,1.762,153.636,7,129,255
8,3,203.500,608.500,4536,26.484,0.144,147.264,8,129,255
9,0,NaN,NaN,4536,NaN,NaN,0.000,9,129,255
10,0,NaN,NaN,4536,NaN,NaN,0.000,10,129,255
11,0,NaN,NaN,4536,NaN,NaN,0.000,11,129,255
12,3,0.500,456.500,4536,3.385,1.128,90.000,12,129,255
13,0,NaN,NaN,4536,NaN,NaN,0.000,13,129,255
14,1,0.500,775.500,4536,1.128,1.128,0.000,14,129,255
15,1,9.500,0.500,4536,1.128,1.128,0.000,15,129,255
16,0,NaN,NaN,4536,NaN,NaN,0.000,16,129,255
17,3,0.833,971.167,4536,2.365,1.615,135.000,17,129,255
18,0,NaN,NaN,4536,NaN,NaN,0.000,18,129,255
19,3,0.500,23.500,4536,3.385,1.128,90.000,19,129,255
20,0,NaN,NaN,4536,NaN,NaN,0.000,20,129,255
21,1,1295.500,965.500,4536,1.128,1.128,0.000,21,129,255
22,2,1295.500,452.000,4536,2.257,1.128,90.000,22,129,255
23,1,1295.500,971.500,4536,1.128,1.128,0.000,23,129,255
24,3,107.167,66.833,4536,35.270,0.108,17.273,24,129,255
25,0,NaN,NaN,4536,NaN,NaN,0.000,25,129,255
26,3,105.500,736.500,4536,46.325,0.082,131.784,26,129,255
27,7,185.500,212.786,4536,6.180,1.442,9.175,27,129,255
28,1,0.500,506.500,4536,1.128,1.128,0.000,28,129,255
29,0,NaN,NaN,4536,NaN,NaN,0.000,29,129,255
30,6,0.833,969.500,4536,4.357,1.754,96.497,30,129,255
31,2,0.500,603.000,4536,50.184,0.051,90.000,31,129,255
32,0,NaN,NaN,4536,NaN,NaN,0.000,32,129,255
33,1,0.500,798.500,4536,1.128,1.128,0.000,33,129,255
34,1,1295.500,141.500,4536,1.128,1.128,90.000,34,129,255
35,2,0.500,506.500,4536,45.530,0.056,90.000,35,129,255
36,3,1.500,970.833,4536,3.213,1.189,151.845,36,129,255
37,2,0.500,316.000,4536,2.257,1.128,90.000,37,129,255
38,0,NaN,NaN,4536,NaN,NaN,0.000,38,129,255
39,15,65.233,352.767,4536,18.530,1.031,179.609,39,129,255
40,0,NaN,NaN,4536,NaN,NaN,0.000,40,129,255
41,4,971.750,399.250,4536,2.813,1.811,22.951,41,129,255
42,1,1295.500,0.500,4536,1.128,1.128,90.000,42,129,255
43,0,NaN,NaN,4536,NaN,NaN,0.000,43,129,255
44,3,0.500,348.500,4536,3.385,1.128,90.000,44,129,255
45,1,1275.500,242.500,4536,1.128,1.128,90.000,45,129,255
46,6,1034.500,465.167,4536,3.745,2.040,32.083,46,129,255
47,3,207.500,0.500,4536,3.385,1.128,0.000,47,129,255
48,0,NaN,NaN,4536,NaN,NaN,0.000,48,129,255
49,1,932.500,971.500,4536,1.128,1.128,0.000,49,129,255
50,0,NaN,NaN,4536,NaN,NaN,0.000,50,129,255
51,0,NaN,NaN,4536,NaN,NaN,0.000,51,129,255
52,1,1292.500,0.500,4536,1.128,1.128,90.000,52,129,255
53,1,0.500,971.500,4536,1.128,1.128,0.000,53,129,255
54,0,NaN,NaN,4536,NaN,NaN,0.000,54,129,255
55,1,1295.500,971.500,4536,1.128,1.128,0.000,55,129,255
56,4,0.500,87.750,4536,37.595,0.135,90.000,56,129,255
57,2,1295.500,88.000,4536,2.257,1.128,90.000,57,129,255
58,0,NaN,NaN,4536,NaN,NaN,0.000,58,129,255
59,0,NaN,NaN,4536,NaN,NaN,0.000,59,129,255
