 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,0,NaN,NaN,4536,NaN,NaN,0,1,1,255
2,0,NaN,NaN,4536,NaN,NaN,0,2,1,255
3,0,NaN,NaN,4536,NaN,NaN,0,3,1,255
4,0,NaN,NaN,4536,NaN,NaN,0,4,1,255
5,0,NaN,NaN,4536,NaN,NaN,0,5,1,255
6,0,NaN,NaN,4536,NaN,NaN,0,6,1,255
7,0,NaN,NaN,4536,NaN,NaN,0,7,1,255
8,0,NaN,NaN,4536,NaN,NaN,0,8,1,255
9,0,NaN,NaN,4536,NaN,NaN,0,9,1,255
10,0,NaN,NaN,4536,NaN,NaN,0,10,1,255
11,0,NaN,NaN,4536,NaN,NaN,0,11,1,255
12,0,NaN,NaN,4536,NaN,NaN,0,12,1,255
13,0,NaN,NaN,4536,NaN,NaN,0,13,1,255
14,0,NaN,NaN,4536,NaN,NaN,0,14,1,255
15,0,NaN,NaN,4536,NaN,NaN,0,15,1,255
16,0,NaN,NaN,4536,NaN,NaN,0,16,1,255
17,0,NaN,NaN,4536,NaN,NaN,0,17,1,255
18,0,NaN,NaN,4536,NaN,NaN,0,18,1,255
19,0,NaN,NaN,4536,NaN,NaN,0,19,1,255
20,0,NaN,NaN,4536,NaN,NaN,0,20,1,255
21,0,NaN,NaN,4536,NaN,NaN,0,21,1,255
22,0,NaN,NaN,4536,NaN,NaN,0,22,1,255
23,0,NaN,NaN,4536,NaN,NaN,0,23,1,255
24,0,NaN,NaN,4536,NaN,NaN,0,24,1,255
25,0,NaN,NaN,4536,NaN,NaN,0,25,1,255
26,0,NaN,NaN,4536,NaN,NaN,0,26,1,255
27,0,NaN,NaN,4536,NaN,NaN,0,27,1,255
28,0,NaN,NaN,4536,NaN,NaN,0,28,1,255
29,0,NaN,NaN,4536,NaN,NaN,0,29,1,255
30,0,NaN,NaN,4536,NaN,NaN,0,30,1,255
31,0,NaN,NaN,4536,NaN,NaN,0,31,1,255
