 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,0,NaN,NaN,4536,NaN,NaN,0.000,1,1,255
2,0,NaN,NaN,4536,NaN,NaN,0.000,2,1,255
3,0,NaN,NaN,4536,NaN,NaN,0.000,3,1,255
4,0,NaN,NaN,4536,NaN,NaN,0.000,4,1,255
5,0,NaN,NaN,4536,NaN,NaN,0.000,5,1,255
6,0,NaN,NaN,4536,NaN,NaN,0.000,6,1,255
7,0,NaN,NaN,4536,NaN,NaN,0.000,7,1,255
8,0,NaN,NaN,4536,NaN,NaN,0.000,8,1,255
9,0,NaN,NaN,4536,NaN,NaN,0.000,9,1,255
10,0,NaN,NaN,4536,NaN,NaN,0.000,10,1,255
11,0,NaN,NaN,4536,NaN,NaN,0.000,11,1,255
12,0,NaN,NaN,4536,NaN,NaN,0.000,12,1,255
13,0,NaN,NaN,4536,NaN,NaN,0.000,13,1,255
14,509,934.146,830.284,4536,74.271,8.726,50.022,14,1,255
15,153,792.245,721.801,4536,29.879,6.520,72.731,15,1,255
16,0,NaN,NaN,4536,NaN,NaN,0.000,16,1,255
17,0,NaN,NaN,4536,NaN,NaN,0.000,17,1,255
18,1182,500.195,463.827,4536,45.555,33.036,8.015,18,1,255
19,467,431.920,540.755,4536,30.483,19.506,150.064,19,1,255
20,180,714.122,651.444,4536,19.408,11.808,153.773,20,1,255
21,36,291.861,731.028,4536,10.433,4.393,21.499,21,1,255
22,71,450.246,524.585,4536,11.021,8.202,26.489,22,1,255
23,120,967.850,681.425,4536,16.687,9.156,175.047,23,1,255
24,87,347.787,341.443,4536,11.727,9.446,29.761,24,1,255
25,69,682.761,589.486,4536,10.318,8.514,159.327,25,1,255
26,208,641.798,442.817,4536,24.406,10.851,31.710,26,1,255
27,264,750.352,496.348,4536,23.752,14.152,33.027,27,1,255
28,79,390.361,592.513,4536,11.912,8.444,155.725,28,1,255
29,145,791.983,564.066,4536,18.021,10.245,145.937,29,1,255
30,181,729.235,502.191,4536,25.128,9.171,175.314,30,1,255
31,73,729.527,464.308,4536,18.859,4.929,125.271,31,1,255
32,232,713.039,151.556,4536,26.841,11.005,171.707,32,1,255
33,212,680.259,417.750,4536,20.849,12.947,173.260,33,1,255
34,124,879.435,443.726,4536,14.767,10.692,176.114,34,1,255
35,119,832.424,429.139,4536,16.358,9.263,170.695,35,1,255
36,57,1065.956,549.447,4536,13.873,5.231,134.524,36,1,255
37,108,693.028,483.935,4536,15.903,8.647,177.403,37,1,255
38,97,775.160,625.582,4536,13.503,9.147,47.260,38,1,255
39,201,902.943,528.490,4536,19.023,13.453,0.772,39,1,255
40,104,634.250,346.346,4536,15.157,8.737,158.325,40,1,255
41,191,791.589,450.060,4536,28.607,8.501,22.171,41,1,255
42,184,880.261,418.766,4536,22.487,10.419,147.067,42,1,255
43,305,604.933,482.516,4536,27.612,14.064,20.283,43,1,255
44,119,962.458,305.391,4536,14.598,10.379,29.113,44,1,255
45,180,915.989,486.850,4536,21.516,10.652,43.973,45,1,255
46,163,512.819,103.298,4536,24.686,8.407,158.029,46,1,255
47,193,770.697,369.189,4536,20.584,11.938,179.493,47,1,255
48,223,594.966,257.563,4536,26.932,10.543,148.257,48,1,255
49,103,625.471,505.092,4536,14.594,8.986,1.453,49,1,255
50,127,620.350,493.059,4536,16.081,10.055,150.170,50,1,255
