 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,0,NaN,NaN,4536,NaN,NaN,0.000,1,1,255
2,0,NaN,NaN,4536,NaN,NaN,0.000,2,1,255
3,0,NaN,NaN,4536,NaN,NaN,0.000,3,1,255
4,0,NaN,NaN,4536,NaN,NaN,0.000,4,1,255
5,0,NaN,NaN,4536,NaN,NaN,0.000,5,1,255
6,0,NaN,NaN,4536,NaN,NaN,0.000,6,1,255
7,0,NaN,NaN,4536,NaN,NaN,0.000,7,1,255
8,0,NaN,NaN,4536,NaN,NaN,0.000,8,1,255
9,179,1008.796,434.925,4536,16.241,14.033,178.647,9,1,255
10,72,937.667,463.597,4536,10.833,8.463,88.048,10,1,255
11,158,1030.165,505.399,4536,16.535,12.167,15.343,11,1,255
12,162,434.747,443.389,4536,15.259,13.518,124.595,12,1,255
13,46,877.413,665.413,4536,12.753,4.593,144.906,13,1,255
14,43,859.686,215.105,4536,9.174,5.968,169.594,14,1,255
15,160,979.375,562.519,4536,16.633,12.248,11.615,15,1,255
16,85,895.841,489.982,4536,12.976,8.340,3.212,16,1,255
17,36,907.333,464.472,4536,9.412,4.870,161.011,17,1,255
18,59,1058.737,519.500,4536,10.900,6.892,37.989,18,1,255
19,63,733.849,426.802,4536,11.109,7.221,177.599,19,1,255
20,31,777.597,446.984,4536,9.245,4.269,162.976,20,1,255
21,47,645.096,350.947,4536,10.660,5.614,153.148,21,1,255
22,53,757.104,498.840,4536,9.346,7.220,168.793,22,1,255
23,56,907.107,701.732,4536,9.952,7.164,170.143,23,1,255
24,51,1191.696,579.520,4536,12.837,5.058,65.175,24,1,255
25,24,688.417,487.292,4536,7.058,4.329,175.204,25,1,255
26,137,931.836,405.442,4536,15.227,11.456,171.856,26,1,255
27,115,1098.396,532.648,4536,12.514,11.700,25.008,27,1,255
28,24,890.958,365.375,4536,5.977,5.113,146.841,28,1,255
29,54,993.630,483.815,4536,9.670,7.110,61.090,29,1,255
30,13,503.731,555.808,4536,4.727,3.502,146.670,30,1,255
31,198,1016.475,471.788,4536,16.802,15.004,163.237,31,1,255
32,15,787.300,857.567,4536,8.393,2.276,169.121,32,1,255
33,171,835.278,383.827,4536,18.678,11.657,175.703,33,1,255
34,10,419.200,469.400,4536,4.996,2.548,13.967,34,1,255
35,23,791.543,334.283,4536,7.538,3.885,174.267,35,1,255
36,97,837.376,494.500,4536,16.149,7.648,29.811,36,1,255
37,25,826.740,635.700,4536,6.963,4.572,153.547,37,1,255
38,52,855.827,395.885,4536,10.053,6.586,5.736,38,1,255
39,108,666.944,482.944,4536,14.006,9.818,3.743,39,1,255
40,126,898.127,439.238,4536,15.250,10.520,8.955,40,1,255
41,11,830.955,811.864,4536,6.281,2.230,143.294,41,1,255
42,58,1011.931,466.707,4536,10.092,7.317,58.551,42,1,255
43,39,687.526,616.192,4536,8.141,6.099,14.297,43,1,255
44,64,1082.250,420.922,4536,10.856,7.506,31.838,44,1,255
45,23,1098.457,314.761,4536,6.966,4.204,37.016,45,1,255
46,295,579.598,305.934,4536,24.787,15.153,164.961,46,1,255
47,61,929.566,410.959,4536,10.587,7.336,22.573,47,1,255
48,81,870.179,558.241,4536,14.198,7.264,153.747,48,1,255
49,12,1071.167,395.750,4536,4.609,3.315,51.751,49,1,255
