 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,0,NaN,NaN,4536,NaN,NaN,0.000,1,1,255
2,6083,536.541,586.434,4536,92.528,83.706,52.448,2,1,255
3,857,550.933,414.403,4536,42.341,25.771,52.219,3,1,255
4,589,629.305,418.388,4536,35.018,21.416,9.022,4,1,255
5,327,694.411,481.044,4536,24.790,16.795,36.210,5,1,255
6,439,492.958,525.744,4536,26.115,21.404,24.373,6,1,255
7,251,678.675,499.926,4536,24.506,13.041,31.334,7,1,255
8,558,612.448,445.665,4536,29.425,24.145,7.583,8,1,255
9,581,708.925,544.455,4536,31.811,23.255,148.466,9,1,255
10,585,680.435,526.878,4536,34.546,21.561,157.744,10,1,255
11,469,654.050,461.681,4536,29.151,20.485,169.182,11,1,255
12,411,650.724,562.816,4536,24.700,21.187,43.299,12,1,255
13,235,662.023,436.853,4536,19.789,15.120,165.935,13,1,255
14,372,586.363,567.177,4536,27.734,17.078,21.205,14,1,255
15,432,556.509,558.516,4536,26.818,20.510,173.413,15,1,255
16,277,613.908,586.143,4536,20.442,17.253,157.046,16,1,255
17,297,693.429,479.652,4536,22.679,16.674,29.344,17,1,255
18,209,561.390,478.323,4536,17.819,14.934,159.807,18,1,255
19,689,657.693,387.853,4536,33.040,26.551,47.683,19,1,255
20,264,468.697,369.345,4536,19.642,17.113,50.412,20,1,255
21,204,751.922,641.255,4536,16.712,15.542,148.000,21,1,255
22,675,626.124,496.509,4536,31.957,26.894,153.865,22,1,255
23,195,469.915,490.977,4536,16.506,15.042,145.064,23,1,255
24,506,718.051,431.488,4536,26.793,24.046,12.059,24,1,255
25,389,511.695,367.793,4536,24.369,20.324,152.135,25,1,255
26,272,516.522,489.897,4536,19.573,17.694,127.118,26,1,255
27,175,673.540,418.077,4536,19.213,11.597,9.647,27,1,255
28,439,568.548,310.566,4536,29.262,19.101,127.267,28,1,255
29,433,661.322,294.126,4536,27.913,19.751,33.178,29,1,255
30,484,753.225,400.178,4536,27.049,22.783,129.481,30,1,255
31,142,597.704,401.739,4536,16.701,10.826,145.179,31,1,255
32,254,691.909,503.701,4536,20.568,15.723,9.122,32,1,255
33,153,519.696,327.997,4536,15.393,12.656,4.782,33,1,255
34,185,727.619,416.873,4536,17.941,13.129,6.164,34,1,255
35,165,627.858,508.124,4536,19.787,10.617,20.518,35,1,255
36,624,731.516,468.462,4536,32.227,24.653,108.987,36,1,255
37,157,390.213,468.143,4536,15.714,12.721,141.721,37,1,255
38,190,754.579,555.658,4536,17.366,13.930,11.255,38,1,255
39,84,373.393,421.571,4536,11.354,9.420,144.775,39,1,255
40,409,759.436,549.696,4536,28.180,18.480,44.793,40,1,255
41,219,675.582,537.884,4536,17.580,15.861,35.282,41,1,255
42,245,672.533,426.982,4536,19.052,16.373,149.476,42,1,255
43,325,445.795,322.518,4536,21.777,19.002,174.772,43,1,255
44,150,713.853,415.520,4536,14.517,13.156,33.078,44,1,255
45,188,507.691,619.862,4536,17.646,13.565,10.793,45,1,255
46,446,662.211,434.312,4536,27.250,20.839,145.954,46,1,255
47,109,578.427,566.307,4536,13.690,10.137,140.693,47,1,255
48,245,666.161,588.255,4536,21.447,14.545,11.959,48,1,255
49,145,458.272,637.266,4536,14.469,12.760,78.525,49,1,255
50,643,862.856,499.817,4536,32.992,24.815,160.965,50,1,255
51,138,681.725,254.138,4536,16.534,10.627,49.725,51,1,255
52,337,650.052,508.776,4536,22.910,18.729,179.031,52,1,255
53,197,379.652,412.028,4536,16.089,15.590,33.394,53,1,255
54,169,774.760,368.660,4536,16.127,13.343,177.590,54,1,255
55,323,543.348,696.695,4536,23.410,17.568,160.229,55,1,255
56,174,581.000,389.155,4536,17.653,12.550,169.835,56,1,255
57,289,644.420,504.836,4536,22.399,16.428,11.938,57,1,255
58,182,773.313,455.434,4536,18.619,12.446,12.011,58,1,255
59,175,530.997,475.026,4536,18.467,12.065,4.634,59,1,255
60,378,793.280,533.275,4536,26.397,18.232,177.510,60,1,255
61,191,360.092,681.856,4536,18.819,12.923,22.843,61,1,255
62,98,561.378,482.959,4536,15.041,8.296,165.085,62,1,255
63,209,749.533,546.514,4536,18.509,14.377,24.029,63,1,255
64,124,758.298,659.597,4536,13.480,11.712,172.621,64,1,255
65,322,649.457,404.016,4536,22.560,18.173,164.514,65,1,255
66,153,581.069,475.729,4536,16.028,12.154,6.501,66,1,255
67,177,602.376,567.223,4536,19.097,11.801,28.636,67,1,255
