 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,35,1041.729,484.671,4536,10.823,4.118,47.477,1,1,255
2,33,844.742,466.894,4536,8.770,4.791,160.905,2,1,255
3,45,862.100,745.322,4536,8.163,7.019,154.589,3,1,255
4,7,1105.500,681.500,4536,4.559,1.955,162.578,4,1,255
5,9,416.389,450.500,4536,5.017,2.284,36.894,5,1,255
6,42,662.976,673.071,4536,9.016,5.931,174.805,6,1,255
7,18,835.722,462.889,4536,8.386,2.733,49.142,7,1,255
8,77,951.435,587.994,4536,15.328,6.396,161.188,8,1,255
9,22,1156.091,627.909,4536,8.472,3.306,81.800,9,1,255
10,16,731.500,285.938,4536,5.982,3.405,0.468,10,1,255
11,8,463.250,425.500,4536,5.983,1.702,175.417,11,1,255
12,38,704.684,332.053,4536,8.137,5.946,18.577,12,1,255
13,14,674.714,702.643,4536,5.892,3.025,160.578,13,1,255
14,6,1037.333,587.833,4536,61.736,0.124,49.599,14,1,255
15,39,919.295,446.987,4536,11.779,4.216,156.305,15,1,255
16,3,650.833,160.500,4536,6.410,0.596,19.618,16,1,255
17,11,797.591,816.864,4536,11.466,1.221,176.613,17,1,255
18,32,747.656,692.250,4536,8.985,4.535,158.059,18,1,255
19,8,975.500,792.000,4536,4.486,2.271,14.382,19,1,255
20,41,675.988,576.744,4536,11.117,4.696,2.692,20,1,255
21,78,966.154,283.090,4536,12.285,8.084,38.198,21,1,255
22,16,787.000,242.625,4536,6.878,2.962,174.770,22,1,255
23,118,945.619,323.678,4536,19.214,7.819,166.680,23,1,255
24,12,566.083,732.750,4536,5.971,2.559,6.602,24,1,255
25,29,957.328,475.845,4536,8.966,4.118,30.384,25,1,255
26,68,674.456,780.000,4536,11.554,7.494,57.324,26,1,255
27,5,1295.100,521.700,4536,3.144,2.025,71.565,27,1,255
28,36,827.389,497.306,4536,9.308,4.924,17.650,28,1,255
29,85,547.453,566.265,4536,13.692,7.905,32.526,29,1,255
30,34,879.500,574.765,4536,8.044,5.382,12.351,30,1,255
31,33,848.227,503.682,4536,8.000,5.252,170.159,31,1,255
32,25,670.740,605.060,4536,7.398,4.303,6.141,32,1,255
33,100,682.140,598.920,4536,13.262,9.600,24.207,33,1,255
34,51,942.069,571.539,4536,13.127,4.947,13.840,34,1,255
35,112,698.839,452.982,4536,13.037,10.938,176.636,35,1,255
36,19,590.658,650.605,4536,7.192,3.364,175.748,36,1,255
37,122,561.566,607.541,4536,15.432,10.066,22.546,37,1,255
38,186,757.710,469.989,4536,17.622,13.439,45.061,38,1,255
39,163,742.660,571.451,4536,18.418,11.268,169.758,39,1,255
40,285,748.609,467.451,4536,20.403,17.785,1.099,40,1,255
41,236,685.589,547.085,4536,19.592,15.337,8.244,41,1,255
42,185,682.597,552.062,4536,18.211,12.935,32.740,42,1,255
43,102,840.010,502.961,4536,15.493,8.383,167.861,43,1,255
44,222,712.126,532.500,4536,20.354,13.887,13.162,44,1,255
45,417,619.083,557.687,4536,26.567,19.985,147.097,45,1,255
46,234,774.282,310.218,4536,18.342,16.243,77.175,46,1,255
47,108,448.056,468.093,4536,13.461,10.215,160.278,47,1,255
48,183,664.609,470.877,4536,17.201,13.546,5.969,48,1,255
49,118,470.805,681.568,4536,73.880,2.034,13.574,49,1,255
50,332,510.217,383.569,4536,24.290,17.403,167.784,50,1,255
51,105,617.071,474.481,4536,14.822,9.020,156.009,51,1,255
52,326,471.147,504.923,4536,23.729,17.492,151.673,52,1,255
53,141,622.415,400.656,4536,18.202,9.863,158.601,53,1,255
54,267,444.081,515.077,4536,20.832,16.319,124.073,54,1,255
55,271,478.939,418.577,4536,21.952,15.718,139.413,55,1,255
56,153,396.382,517.866,4536,19.775,9.851,65.533,56,1,255
57,333,523.131,517.701,4536,21.632,19.600,91.064,57,1,255
58,205,469.793,349.066,4536,18.384,14.198,171.440,58,1,255
59,57,242.675,635.570,4536,18.450,3.934,50.078,59,1,255
60,105,247.729,618.529,4536,19.795,6.754,74.148,60,1,255
61,484,469.295,441.343,4536,29.629,20.799,49.255,61,1,255
62,715,443.327,467.377,4536,36.519,24.928,47.464,62,1,255
63,1131,495.722,492.324,4536,39.108,36.822,82.185,63,1,255
64,628,457.481,412.806,4536,36.837,21.706,37.974,64,1,255
65,1010,490.677,457.839,4536,43.967,29.249,35.195,65,1,255
66,263,382.933,459.006,4536,46.065,7.269,51.864,66,1,255
67,136,583.632,200.654,4536,41.668,4.156,167.908,67,1,255
68,1142,526.994,396.717,4536,49.186,29.562,49.525,68,1,255
69,0,NaN,NaN,4536,NaN,NaN,0.000,69,1,255
70,0,NaN,NaN,4536,NaN,NaN,0.000,70,1,255
71,0,NaN,NaN,4536,NaN,NaN,0.000,71,1,255
72,0,NaN,NaN,4536,NaN,NaN,0.000,72,1,255
73,0,NaN,NaN,4536,NaN,NaN,0.000,73,1,255
74,0,NaN,NaN,4536,NaN,NaN,0.000,74,1,255
75,0,NaN,NaN,4536,NaN,NaN,0.000,75,1,255
76,0,NaN,NaN,4536,NaN,NaN,0.000,76,1,255
77,0,NaN,NaN,4536,NaN,NaN,0.000,77,1,255
78,0,NaN,NaN,4536,NaN,NaN,0.000,78,1,255
79,0,NaN,NaN,4536,NaN,NaN,0.000,79,1,255
80,0,NaN,NaN,4536,NaN,NaN,0.000,80,1,255
81,0,NaN,NaN,4536,NaN,NaN,0.000,81,1,255
82,0,NaN,NaN,4536,NaN,NaN,0.000,82,1,255
83,0,NaN,NaN,4536,NaN,NaN,0.000,83,1,255
84,0,NaN,NaN,4536,NaN,NaN,0.000,84,1,255
85,0,NaN,NaN,4536,NaN,NaN,0.000,85,1,255
86,0,NaN,NaN,4536,NaN,NaN,0.000,86,1,255
87,0,NaN,NaN,4536,NaN,NaN,0.000,87,1,255
88,0,NaN,NaN,4536,NaN,NaN,0.000,88,1,255
89,0,NaN,NaN,4536,NaN,NaN,0.000,89,1,255
90,0,NaN,NaN,4536,NaN,NaN,0.000,90,1,255
91,0,NaN,NaN,4536,NaN,NaN,0.000,91,1,255
92,0,NaN,NaN,4536,NaN,NaN,0.000,92,1,255
93,0,NaN,NaN,4536,NaN,NaN,0.000,93,1,255
94,0,NaN,NaN,4536,NaN,NaN,0.000,94,1,255
95,0,NaN,NaN,4536,NaN,NaN,0.000,95,1,255
96,0,NaN,NaN,4536,NaN,NaN,0.000,96,1,255
97,0,NaN,NaN,4536,NaN,NaN,0.000,97,1,255
98,0,NaN,NaN,4536,NaN,NaN,0.000,98,1,255
99,0,NaN,NaN,4536,NaN,NaN,0.000,99,1,255
100,308,631.740,550.114,4536,24.620,15.929,21.132,100,1,255
101,688,611.894,673.340,4536,36.274,24.149,179.971,101,1,255
102,1103,586.864,547.845,4536,49.486,28.379,37.711,102,1,255
103,1417,780.151,635.195,4536,50.869,35.467,25.455,103,1,255
104,1286,607.977,627.677,4536,52.530,31.171,17.093,104,1,255
105,1317,650.201,603.027,4536,58.185,28.819,29.284,105,1,255
106,1366,721.138,617.268,4536,54.949,31.652,29.351,106,1,255
107,1786,569.536,636.003,4536,53.136,42.796,28.837,107,1,255
108,1398,503.469,589.809,4536,61.389,28.995,28.656,108,1,255
109,2002,724.157,539.893,4536,58.611,43.491,168.093,109,1,255
110,12005,589.413,497.254,4536,145.375,105.144,169.980,110,1,255
111,4699,545.669,482.553,4536,87.885,68.077,160.463,111,1,255
112,4330,566.324,547.146,4536,84.916,64.924,0.918,112,1,255
113,4133,574.592,451.458,4536,91.871,57.279,167.073,113,1,255
114,3812,605.765,582.812,4536,81.187,59.783,156.822,114,1,255
115,3019,694.579,438.210,4536,72.201,53.239,173.181,115,1,255
116,2740,619.426,500.066,4536,65.449,53.304,160.363,116,1,255
117,2539,619.283,427.850,4536,69.671,46.400,158.740,117,1,255
118,2971,700.213,492.457,4536,66.686,56.725,124.352,118,1,255
119,1819,678.248,532.471,4536,53.878,42.986,5.805,119,1,255
120,2157,606.788,514.451,4536,56.053,48.996,52.431,120,1,255
121,2362,696.520,552.866,4536,55.658,54.034,159.818,121,1,255
122,2090,590.985,556.271,4536,54.166,49.128,22.097,122,1,255
123,1260,717.638,535.548,4536,44.453,36.089,132.791,123,1,255
124,1642,728.090,601.097,4536,54.719,38.207,179.933,124,1,255
125,1168,679.987,448.026,4536,45.131,32.952,156.535,125,1,255
126,813,655.571,565.250,4536,32.837,31.524,52.977,126,1,255
127,1308,672.462,523.293,4536,43.562,38.231,28.800,127,1,255
128,1311,688.127,448.625,4536,44.683,37.357,37.737,128,1,255
129,944,623.084,610.066,4536,36.391,33.029,168.223,129,1,255
130,1093,689.915,535.842,4536,38.366,36.273,74.318,130,1,255
131,618,607.162,544.650,4536,31.379,25.076,26.463,131,1,255
132,538,576.783,522.877,4536,30.656,22.345,87.691,132,1,255
133,731,670.787,608.830,4536,41.819,22.257,13.147,133,1,255
134,865,647.915,541.035,4536,34.206,32.198,95.784,134,1,255
135,527,743.179,559.583,4536,31.003,21.643,173.962,135,1,255
136,618,708.395,600.400,4536,31.797,24.747,12.091,136,1,255
137,439,706.051,516.325,4536,29.142,19.180,89.897,137,1,255
138,472,696.248,483.612,4536,31.562,19.041,7.609,138,1,255
139,326,684.975,554.077,4536,23.601,17.587,173.982,139,1,255
140,339,746.830,562.957,4536,23.271,18.548,145.916,140,1,255
141,524,611.277,610.237,4536,27.561,24.208,179.210,141,1,255
142,365,675.864,518.829,4536,27.891,16.662,117.274,142,1,255
143,247,787.662,539.609,4536,21.458,14.656,6.230,143,1,255
144,235,672.304,465.351,4536,24.643,12.142,146.706,144,1,255
145,216,669.634,540.856,4536,17.869,15.391,109.540,145,1,255
