 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,96,932.104,241.688,4536,13.022,9.387,39.015,1,1,255
2,20,908.800,324.100,4536,5.934,4.292,29.687,2,1,255
3,35,1072.129,410.614,4536,10.376,4.295,157.902,3,1,255
4,85,1003.300,706.724,4536,10.881,9.946,178.688,4,1,255
5,31,745.500,493.661,4536,7.318,5.393,9.385,5,1,255
6,15,591.367,214.033,4536,6.222,3.070,177.233,6,1,255
7,84,1101.071,474.119,4536,12.492,8.562,63.272,7,1,255
8,19,699.079,607.289,4536,6.734,3.593,14.523,8,1,255
9,19,889.500,320.974,4536,6.614,3.658,168.224,9,1,255
10,51,580.539,537.225,4536,8.894,7.301,158.119,10,1,255
11,36,1102.278,431.222,4536,7.013,6.536,89.111,11,1,255
12,26,588.962,579.462,4536,6.453,5.130,23.132,12,1,255
13,55,879.391,400.100,4536,10.890,6.431,147.579,13,1,255
14,19,1173.763,460.132,4536,8.516,2.841,85.991,14,1,255
15,56,836.696,379.089,4536,8.846,8.061,44.711,15,1,255
16,26,574.462,139.115,4536,9.191,3.602,145.457,16,1,255
17,47,979.096,765.883,4536,8.775,6.819,10.881,17,1,255
18,10,380.900,473.100,4536,4.238,3.004,179.063,18,1,255
19,103,976.393,432.617,4536,12.638,10.377,5.059,19,1,255
20,21,1004.262,330.167,4536,6.717,3.981,78.590,20,1,255
21,35,606.271,433.786,4536,9.906,4.499,40.733,21,1,255
22,48,690.583,601.271,4536,11.005,5.554,149.360,22,1,255
23,61,1079.057,340.287,4536,11.088,7.005,55.546,23,1,255
24,64,376.234,501.203,4536,11.004,7.405,160.206,24,1,255
25,33,944.379,701.167,4536,8.037,5.228,16.627,25,1,255
26,32,1086.562,655.812,4536,6.972,5.844,116.782,26,1,255
27,61,907.205,601.303,4536,11.970,6.488,154.457,27,1,255
28,43,617.500,578.779,4536,10.659,5.136,137.205,28,1,255
29,18,1003.444,458.833,4536,6.911,3.316,145.336,29,1,255
30,88,789.273,364.659,4536,14.854,7.543,24.484,30,1,255
31,24,886.542,704.333,4536,7.210,4.238,114.858,31,1,255
32,117,698.363,142.209,4536,18.029,8.263,118.304,32,1,255
33,43,1161.105,122.872,4536,10.082,5.431,79.260,33,1,255
34,39,511.295,318.859,4536,10.346,4.800,150.334,34,1,255
35,26,822.308,433.423,4536,8.142,4.066,146.254,35,1,255
36,28,1015.607,367.679,4536,8.919,3.997,152.565,36,1,255
37,23,438.761,534.326,4536,5.578,5.250,179.964,37,1,255
38,42,1043.524,635.690,4536,8.302,6.441,169.960,38,1,255
39,355,722.385,874.787,4536,34.563,13.077,49.613,39,1,255
40,218,665.908,852.463,4536,18.768,14.789,125.566,40,1,255
41,73,966.938,666.021,4536,11.602,8.011,0.648,41,1,255
42,61,569.205,418.533,4536,10.657,7.288,0.303,42,1,255
43,6,1056.167,341.167,4536,6.044,1.264,20.318,43,1,255
44,51,1063.931,415.520,4536,10.127,6.412,148.684,44,1,255
45,28,576.786,438.607,4536,7.397,4.819,160.009,45,1,255
46,154,493.409,371.630,4536,19.836,9.885,171.677,46,1,255
47,18,957.722,406.778,4536,7.081,3.237,90.518,47,1,255
48,105,1006.795,458.948,4536,12.243,10.920,35.476,48,1,255
49,34,710.735,440.765,4536,7.856,5.510,49.258,49,1,255
50,63,791.468,790.167,4536,12.552,6.391,15.994,50,1,255
51,125,692.940,284.972,4536,16.024,9.933,6.814,51,1,255
52,10,644.000,486.000,4536,4.995,2.549,48.756,52,1,255
53,47,920.415,423.138,4536,9.308,6.429,15.615,53,1,255
54,20,1093.550,614.900,4536,8.006,3.181,122.491,54,1,255
55,18,1116.944,673.500,4536,5.517,4.154,32.850,55,1,255
56,155,718.919,577.506,4536,19.915,9.910,17.587,56,1,255
57,3,608.833,482.833,4536,2.488,1.535,175.683,57,1,255
58,86,567.128,523.616,4536,17.196,6.368,13.839,58,1,255
59,36,601.111,335.278,4536,9.560,4.794,150.464,59,1,255
60,23,1089.978,380.543,4536,6.586,4.447,80.399,60,1,255
61,42,816.619,659.929,4536,8.048,6.645,153.556,61,1,255
62,35,401.757,254.443,4536,9.084,4.906,178.271,62,1,255
63,46,965.174,633.478,4536,10.856,5.395,27.562,63,1,255
64,27,626.648,365.722,4536,8.072,4.259,139.264,64,1,255
65,54,856.981,599.537,4536,10.462,6.572,10.730,65,1,255
66,39,538.141,389.423,4536,10.330,4.807,174.987,66,1,255
67,36,747.972,471.139,4536,8.017,5.718,0.353,67,1,255
68,16,1049.125,561.000,4536,6.107,3.336,2.754,68,1,255
69,92,695.728,455.891,4536,15.248,7.682,175.248,69,1,255
70,10,956.400,168.200,4536,5.398,2.359,149.290,70,1,255
71,51,845.618,526.735,4536,10.163,6.390,47.976,71,1,255
72,334,109.180,553.695,4536,56.211,7.565,15.183,72,1,255
73,60,1025.350,632.950,4536,10.998,6.946,103.550,73,1,255
74,125,707.268,636.804,4536,17.545,9.071,28.495,74,1,255
75,34,682.853,561.088,4536,8.933,4.846,135.431,75,1,255
76,24,592.208,345.958,4536,6.342,4.818,26.062,76,1,255
77,59,743.381,320.449,4536,12.276,6.119,162.807,77,1,255
78,104,1072.837,715.019,4536,15.385,8.607,125.095,78,1,255
79,39,1194.859,774.423,4536,7.666,6.478,167.664,79,1,255
80,203,717.190,756.968,4536,17.967,14.386,47.061,80,1,255
81,396,339.295,838.280,4536,35.273,14.294,18.717,81,1,255
82,74,936.824,231.784,4536,12.299,7.661,2.440,82,1,255
83,183,665.134,859.757,4536,19.480,11.961,48.397,83,1,255
84,104,957.538,314.288,4536,17.123,7.733,170.396,84,1,255
85,3,974.167,184.167,4536,57.318,0.067,161.801,85,1,255
86,44,832.341,498.159,4536,9.918,5.649,24.014,86,1,255
87,32,948.969,565.750,4536,8.782,4.640,147.976,87,1,255
88,147,977.146,406.854,4536,16.350,11.448,5.963,88,1,255
89,25,619.980,229.380,4536,11.015,2.890,11.099,89,1,255
90,42,958.952,471.119,4536,8.198,6.523,174.001,90,1,255
91,93,467.145,381.414,4536,11.883,9.965,174.630,91,1,255
92,43,1217.616,388.337,4536,7.914,6.918,64.532,92,1,255
93,10,481.300,623.600,4536,4.995,2.549,10.977,93,1,255
94,89,943.152,557.388,4536,12.303,9.210,175.374,94,1,255
95,48,839.646,391.021,4536,11.072,5.520,142.541,95,1,255
96,49,642.847,556.459,4536,12.134,5.142,34.640,96,1,255
97,91,896.203,437.742,4536,14.759,7.850,0.498,97,1,255
98,33,1150.773,719.985,4536,9.888,4.249,141.988,98,1,255
99,25,470.260,191.220,4536,8.263,3.852,178.776,99,1,255
100,56,1032.036,518.554,4536,9.329,7.643,28.845,100,1,255
101,54,411.259,364.593,4536,11.862,5.796,124.036,101,1,255
102,47,1099.223,422.691,4536,9.914,6.036,145.858,102,1,255
103,33,856.470,609.864,4536,8.341,5.037,19.940,103,1,255
104,42,961.667,406.048,4536,8.555,6.251,175.707,104,1,255
105,57,855.377,344.518,4536,11.145,6.512,0.773,105,1,255
106,26,919.615,565.654,4536,7.199,4.599,17.607,106,1,255
107,33,994.076,561.985,4536,8.718,4.819,123.352,107,1,255
108,493,862.317,893.003,4536,28.516,22.012,60.178,108,1,255
109,40,584.725,588.100,4536,8.207,6.205,5.414,109,1,255
110,19,863.026,407.711,4536,9.729,2.487,160.400,110,1,255
111,195,600.962,297.013,4536,19.756,12.567,158.519,111,1,255
112,20,736.650,432.800,4536,7.212,3.531,171.949,112,1,255
113,40,742.900,604.825,4536,9.051,5.627,25.056,113,1,255
114,21,724.881,531.214,4536,7.793,3.431,146.329,114,1,255
115,32,635.750,715.375,4536,6.929,5.880,108.072,115,1,255
116,72,791.125,331.667,4536,14.172,6.468,172.934,116,1,255
117,92,987.533,280.087,4536,10.999,10.650,11.220,117,1,255
118,40,951.975,561.125,4536,10.207,4.989,43.234,118,1,255
119,7,866.500,202.500,4536,4.448,2.004,147.215,119,1,255
120,46,314.522,422.022,4536,10.263,5.707,32.526,120,1,255
121,35,1068.871,508.443,4536,8.552,5.211,86.211,121,1,255
122,36,1122.333,485.861,4536,8.850,5.180,35.802,122,1,255
123,44,1099.636,455.523,4536,9.979,5.614,59.084,123,1,255
124,35,924.986,372.957,4536,9.294,4.795,40.566,124,1,255
125,150,337.260,385.580,4536,18.753,10.184,164.562,125,1,255
126,94,515.245,424.606,4536,13.916,8.600,163.518,126,1,255
127,30,898.333,382.867,4536,7.447,5.129,17.474,127,1,255
128,252,963.385,570.579,4536,20.255,15.841,165.943,128,1,255
129,13,127.654,505.423,4536,4.977,3.326,106.316,129,1,255
130,50,1108.640,418.440,4536,8.366,7.610,96.210,130,1,255
131,25,977.620,428.340,4536,7.095,4.486,137.764,131,1,255
132,60,1033.700,489.200,4536,10.399,7.346,172.906,132,1,255
133,32,764.781,221.594,4536,8.619,4.727,172.281,133,1,255
134,32,906.250,711.219,4536,9.620,4.235,179.572,134,1,255
135,41,939.061,300.476,4536,9.872,5.288,161.329,135,1,255
136,38,1143.079,541.263,4536,12.599,3.840,85.945,136,1,255
