 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,77,624.955,497.747,4536,12.602,7.779,179.707,1,10,255
2,218,790.197,650.610,4536,18.910,14.678,169.303,2,10,255
3,191,720.312,619.846,4536,17.070,14.247,39.440,3,10,255
4,188,705.319,485.739,4536,16.483,14.522,153.166,4,10,255
5,339,830.317,564.851,4536,24.595,17.549,2.864,5,10,255
6,78,742.308,459.064,4536,13.643,7.280,27.173,6,10,255
7,176,746.239,533.267,4536,16.475,13.602,162.519,7,10,255
8,471,839.863,423.829,4536,30.694,19.538,8.815,8,10,255
9,170,666.941,448.571,4536,15.418,14.039,163.020,9,10,255
10,174,694.494,572.799,4536,19.288,11.486,178.874,10,10,255
11,169,909.246,554.565,4536,18.792,11.451,136.825,11,10,255
12,198,910.904,582.020,4536,17.367,14.516,176.857,12,10,255
13,107,734.790,437.547,4536,12.322,11.057,25.188,13,10,255
14,305,804.880,557.139,4536,22.542,17.227,3.901,14,10,255
15,303,626.183,549.078,4536,22.776,16.938,145.273,15,10,255
16,181,738.931,532.146,4536,16.373,14.076,149.415,16,10,255
17,236,915.424,395.750,4536,19.588,15.340,0.558,17,10,255
18,186,617.151,475.694,4536,18.435,12.846,165.577,18,10,255
19,304,930.349,603.424,4536,21.636,17.890,178.006,19,10,255
20,246,609.179,459.337,4536,22.413,13.975,22.874,20,10,255
21,406,772.700,681.483,4536,29.836,17.326,142.596,21,10,255
22,251,875.875,504.380,4536,22.508,14.198,24.797,22,10,255
23,276,811.127,517.986,4536,21.295,16.502,172.001,23,10,255
24,430,789.228,652.919,4536,28.095,19.487,2.824,24,10,255
25,140,735.629,396.071,4536,14.520,12.277,18.282,25,10,255
26,226,679.699,601.677,4536,17.774,16.189,20.309,26,10,255
27,265,647.330,552.402,4536,23.359,14.444,153.572,27,10,255
28,437,922.319,578.656,4536,25.767,21.594,24.014,28,10,255
29,225,738.856,429.882,4536,21.210,13.507,18.189,29,10,255
30,591,848.838,584.992,4536,32.353,23.259,36.823,30,10,255
31,262,808.935,604.126,4536,19.940,16.730,62.391,31,10,255
32,451,811.398,522.830,4536,27.148,21.152,16.163,32,10,255
33,244,740.115,602.590,4536,23.030,13.490,166.571,33,10,255
34,412,690.767,496.405,4536,30.914,16.969,155.910,34,10,255
35,513,838.449,568.886,4536,26.716,24.449,19.936,35,10,255
36,777,584.760,370.433,4536,40.912,24.181,22.236,36,10,255
37,584,814.462,606.142,4536,34.351,21.646,168.074,37,10,255
38,985,693.731,374.889,4536,43.341,28.937,161.878,38,10,255
39,244,709.209,634.475,4536,22.608,13.742,152.622,39,10,255
40,628,937.078,562.325,4536,30.742,26.010,89.735,40,10,255
41,1666,873.842,539.979,4536,51.691,41.036,177.761,41,10,255
42,347,833.229,480.454,4536,22.389,19.734,142.580,42,10,255
43,1923,873.594,562.044,4536,52.076,47.016,14.205,43,10,255
44,426,877.871,482.700,4536,29.042,18.676,149.156,44,10,255
45,792,773.600,585.864,4536,37.372,26.983,154.139,45,10,255
46,707,726.820,567.428,4536,34.515,26.081,160.326,46,10,255
47,1481,851.135,664.544,4536,53.098,35.513,171.126,47,10,255
48,604,794.091,521.247,4536,29.480,26.086,173.393,48,10,255
49,0,NaN,NaN,4536,NaN,NaN,0.000,49,10,255
50,2577,840.367,424.629,4536,244.780,13.404,43.996,50,10,255
51,369,976.449,526.386,4536,28.025,16.764,11.155,51,10,255
52,366,869.724,643.937,4536,23.837,19.549,24.752,52,10,255
53,856,859.715,624.884,4536,36.891,29.543,23.780,53,10,255
54,1516,1070.489,789.253,4536,200.824,9.612,41.629,54,10,255
55,517,960.997,644.287,4536,33.110,19.881,22.529,55,10,255
56,0,NaN,NaN,4536,NaN,NaN,0.000,56,10,255
57,405,788.268,530.162,4536,35.396,14.569,158.794,57,10,255
58,473,1049.107,475.576,4536,27.963,21.537,96.049,58,10,255
59,257,1036.523,500.846,4536,20.805,15.728,16.470,59,10,255
60,304,529.882,270.168,4536,36.331,10.654,145.042,60,10,255
61,933,935.023,600.971,4536,39.887,29.783,88.431,61,10,255
62,226,319.442,422.903,4536,19.888,14.468,8.829,62,10,255
63,0,NaN,NaN,4536,NaN,NaN,0.000,63,10,255
64,0,NaN,NaN,4536,NaN,NaN,0.000,64,10,255
65,0,NaN,NaN,4536,NaN,NaN,0.000,65,10,255
66,0,NaN,NaN,4536,NaN,NaN,0.000,66,10,255
67,0,NaN,NaN,4536,NaN,NaN,0.000,67,10,255
68,0,NaN,NaN,4536,NaN,NaN,0.000,68,10,255
69,0,NaN,NaN,4536,NaN,NaN,0.000,69,10,255
70,0,NaN,NaN,4536,NaN,NaN,0.000,70,10,255
71,0,NaN,NaN,4536,NaN,NaN,0.000,71,10,255
72,0,NaN,NaN,4536,NaN,NaN,0.000,72,10,255
73,321,361.977,109.980,4536,37.635,10.860,171.773,73,10,255
74,1047,551.977,137.325,4536,120.240,11.087,156.588,74,10,255
75,1279,677.377,187.568,4536,73.419,22.180,37.482,75,10,255
76,86,610.047,243.419,4536,25.117,4.359,29.489,76,10,255
77,108,1116.417,265.528,4536,12.962,10.608,22.746,77,10,255
78,0,NaN,NaN,4536,NaN,NaN,0.000,78,10,255
79,559,830.779,327.112,4536,140.031,5.083,147.238,79,10,255
80,3493,815.797,668.765,4536,69.801,63.716,152.975,80,10,255
81,335,915.246,410.745,4536,106.930,3.989,3.899,81,10,255
82,678,437.910,225.423,4536,172.319,5.010,156.187,82,10,255
83,420,615.895,617.836,4536,98.138,5.449,1.806,83,10,255
84,75,463.220,619.087,4536,15.835,6.030,160.285,84,10,255
85,0,NaN,NaN,4536,NaN,NaN,0.000,85,10,255
86,553,1103.907,720.643,4536,29.679,23.724,96.121,86,10,255
87,654,853.457,731.480,4536,47.797,17.421,69.320,87,10,255
88,0,NaN,NaN,4536,NaN,NaN,0.000,88,10,255
89,0,NaN,NaN,4536,NaN,NaN,0.000,89,10,255
90,0,NaN,NaN,4536,NaN,NaN,0.000,90,10,255
91,0,NaN,NaN,4536,NaN,NaN,0.000,91,10,255
92,0,NaN,NaN,4536,NaN,NaN,0.000,92,10,255
93,0,NaN,NaN,4536,NaN,NaN,0.000,93,10,255
94,0,NaN,NaN,4536,NaN,NaN,0.000,94,10,255
95,0,NaN,NaN,4536,NaN,NaN,0.000,95,10,255
96,0,NaN,NaN,4536,NaN,NaN,0.000,96,10,255
97,153,319.042,472.206,4536,17.062,11.417,166.148,97,10,255
