"nutrient_name","nutrient_conc","species","campaign","date","sample_id"
"al_mg_kg",13.8,"FASY",1,2024-05-28,"FASY_01"
"ca_mg_kg",8047,"FASY",1,2024-05-28,"FASY_01"
"fe_mg_kg",56.3,"FASY",1,2024-05-28,"FASY_01"
"k_mg_kg",4900,"FASY",1,2024-05-28,"FASY_01"
"mg_mg_kg",725,"FASY",1,2024-05-28,"FASY_01"
"mn_mg_kg",72.2,"FASY",1,2024-05-28,"FASY_01"
"p_mg_kg",912,"FASY",1,2024-05-28,"FASY_01"
"s_mg_kg",948,"FASY",1,2024-05-28,"FASY_01"
"zn_mg_kg",20.4,"FASY",1,2024-05-28,"FASY_01"
"al_mg_kg",10.8,"FASY",1,2024-05-28,"FASY_02"
"ca_mg_kg",10565,"FASY",1,2024-05-28,"FASY_02"
"fe_mg_kg",63,"FASY",1,2024-05-28,"FASY_02"
"k_mg_kg",3581,"FASY",1,2024-05-28,"FASY_02"
"mg_mg_kg",645,"FASY",1,2024-05-28,"FASY_02"
"mn_mg_kg",82.8,"FASY",1,2024-05-28,"FASY_02"
"na_mg_kg",101,"FASY",1,2024-05-28,"FASY_02"
"p_mg_kg",884,"FASY",1,2024-05-28,"FASY_02"
"s_mg_kg",987,"FASY",1,2024-05-28,"FASY_02"
"zn_mg_kg",18.4,"FASY",1,2024-05-28,"FASY_02"
"al_mg_kg",35.5,"FASY",1,2024-05-28,"FASY_03"
"ca_mg_kg",10890,"FASY",1,2024-05-28,"FASY_03"
"fe_mg_kg",115,"FASY",1,2024-05-28,"FASY_03"
"k_mg_kg",6147,"FASY",1,2024-05-28,"FASY_03"
"mg_mg_kg",1993,"FASY",1,2024-05-28,"FASY_03"
"mn_mg_kg",101,"FASY",1,2024-05-28,"FASY_03"
"p_mg_kg",1217,"FASY",1,2024-05-28,"FASY_03"
"s_mg_kg",1176,"FASY",1,2024-05-28,"FASY_03"
"zn_mg_kg",19.9,"FASY",1,2024-05-28,"FASY_03"
"al_mg_kg",10.9,"FASY",1,2024-05-28,"FASY_04"
"ca_mg_kg",8305,"FASY",1,2024-05-28,"FASY_04"
"fe_mg_kg",113,"FASY",1,2024-05-28,"FASY_04"
"k_mg_kg",5309,"FASY",1,2024-05-28,"FASY_04"
"mg_mg_kg",1071,"FASY",1,2024-05-28,"FASY_04"
"mn_mg_kg",79.2,"FASY",1,2024-05-28,"FASY_04"
"na_mg_kg",61.7,"FASY",1,2024-05-28,"FASY_04"
"p_mg_kg",1071,"FASY",1,2024-05-28,"FASY_04"
"s_mg_kg",1061,"FASY",1,2024-05-28,"FASY_04"
"zn_mg_kg",33.8,"FASY",1,2024-05-28,"FASY_04"
"ca_mg_kg",5099,"FREX",1,2024-05-28,"FREX_05"
"fe_mg_kg",73.4,"FREX",1,2024-05-28,"FREX_05"
"k_mg_kg",9492,"FREX",1,2024-05-28,"FREX_05"
"mg_mg_kg",1486,"FREX",1,2024-05-28,"FREX_05"
"mn_mg_kg",19.6,"FREX",1,2024-05-28,"FREX_05"
"p_mg_kg",3406,"FREX",1,2024-05-28,"FREX_05"
"s_mg_kg",2208,"FREX",1,2024-05-28,"FREX_05"
"zn_mg_kg",46.3,"FREX",1,2024-05-28,"FREX_05"
"ca_mg_kg",10122,"FREX",1,2024-05-28,"FREX_06"
"fe_mg_kg",66.4,"FREX",1,2024-05-28,"FREX_06"
"k_mg_kg",10188,"FREX",1,2024-05-28,"FREX_06"
"mg_mg_kg",1778,"FREX",1,2024-05-28,"FREX_06"
"mn_mg_kg",23.1,"FREX",1,2024-05-28,"FREX_06"
"p_mg_kg",2135,"FREX",1,2024-05-28,"FREX_06"
"s_mg_kg",2540,"FREX",1,2024-05-28,"FREX_06"
"zn_mg_kg",38.5,"FREX",1,2024-05-28,"FREX_06"
"ca_mg_kg",5296,"FREX",1,2024-05-28,"FREX_07"
"fe_mg_kg",70,"FREX",1,2024-05-28,"FREX_07"
"k_mg_kg",10471,"FREX",1,2024-05-28,"FREX_07"
"mg_mg_kg",1814,"FREX",1,2024-05-28,"FREX_07"
"mn_mg_kg",16.9,"FREX",1,2024-05-28,"FREX_07"
