year,campaign,date,sample_id,species,rmse_fitplc,p12_fitplc,p50_fitplc,p88_fitplc,p12_lwr,p50_lwr,p88_lwr,p12_upr,p50_upr,p88_upr,rmse_spline,p12_spline,p50_spline,p88_spline,,date_plot,vessel_order
2023,1,13.06.2023,FASY_01,FASY,3.026860362,-3.337694212,-4.207196496,-4.903327781,-3.299269669,-4.195459996,-4.889349194,-3.36867727,-4.218107977,-4.923452811,2.104909405,-3.166129306,-4.212218521,-4.83651988,,13.06.2000,all
2023,1,13.06.2023,FASY_01,FASY,2.569005844,-1.727702643,-3.023141393,-4.376874087,-1.693762315,-2.996735879,-4.353013274,-1.757823193,-3.044776269,-4.402835808,2.245388844,-1.961867109,-3.012308112,-4.341036452,,13.06.2000,major
2023,1,13.06.2023,FASY_02,FASY,1.922145177,-3.429733185,-3.821476986,-4.104840949,-3.418139652,-3.815482688,-4.087178483,-3.44333309,-3.827860692,-4.123049991,1.339338506,-3.450458301,-3.817685338,-4.184967055,,13.06.2000,all
2023,1,13.06.2023,FASY_02,FASY,2.092437686,-3.477320107,-3.890068482,-4.189615938,-3.464534466,-3.88213705,-4.170452796,-3.488721263,-3.898665924,-4.213757021,1.70976133,-3.487964535,-3.884595857,-4.281257631,,13.06.2000,major
2023,1,13.06.2023,FASY_03,FASY,2.02310719,-4.235667933,-4.715583562,-5.062489968,-4.202113107,-4.700489044,-5.050216372,-4.273266659,-4.730578009,-5.079167576,2.048461103,-4.157278597,-4.689194442,-5.047212304,,13.06.2000,all
2023,1,13.06.2023,FASY_03,FASY,1.108463132,-3.60729477,-4.28381152,-4.79955169,-3.587012391,-4.275024326,-4.787814588,-3.628099907,-4.292626519,-4.810912305,1.493102497,-3.608996698,-4.248567362,-4.75907282,,13.06.2000,major
2023,1,13.06.2023,FASY_04,FASY,3.308290005,-2.263069566,-3.443858021,-4.546152864,-2.219972099,-3.415744496,-4.477441955,-2.323273977,-3.477083587,-4.594188898,3.302823855,-2.473965814,-3.479596785,-4.485298789,,13.06.2000,all
2023,1,13.06.2023,FASY_04,FASY,5.315173299,-1.832663895,-2.669056894,-3.422494744,-1.687534408,-2.612547015,-3.266299551,-1.993428484,-2.755747097,-3.538257209,3.769037769,-2.036558539,-2.65349663,-3.70016268,,13.06.2000,major
2023,2,17.07.2023,FASY_01,FASY,4.165349057,-2.882121071,-4.228805915,-5.449281955,-2.845545138,-4.216469839,-5.417499181,-2.916279079,-4.247037444,-5.496398842,2.839393993,-2.584383531,-4.260965692,-5.329525744,,17.07.2000,all
2023,2,17.07.2023,FASY_01,FASY,10.25486434,-0.977306759,-1.988039408,-3.179707313,-0.846338573,-1.885278523,-3.051302007,-1.12186696,-2.108613416,-3.272277608,3.611168364,-1.648939274,-1.8111424,-3.654637732,,17.07.2000,major
2023,2,17.07.2023,FASY_02,FASY,2.290701431,-3.906432338,-4.041067073,-4.132649706,-3.897271429,-4.034200765,-4.121884057,-3.907702668,-4.049305378,-4.157835009,2.828333696,-3.878385502,-4.050596811,-4.216267666,,17.07.2000,all
2023,2,17.07.2023,FASY_02,FASY,1.881633645,-3.782991832,-3.956158136,-4.075017551,-3.773603845,-3.953174685,-4.073113938,-3.785563673,-3.957767745,-4.085166217,2.085830104,-3.751012156,-3.952702744,-4.102766698,,17.07.2000,major
2023,2,17.07.2023,FASY_03,FASY,2.210992459,-3.575707829,-4.117859361,-4.520845612,-3.551955934,-4.107799591,-4.505547761,-3.594593724,-4.126470148,-4.537738781,2.181797464,-3.501945471,-4.099415633,-4.586246664,,17.07.2000,all
2023,2,17.07.2023,FASY_03,FASY,2.450552753,-2.658249737,-3.517073849,-4.232475505,-2.630871996,-3.50735466,-4.213013446,-2.681229718,-3.529311051,-4.254820804,3.10778628,-2.710756822,-3.467323077,-4.217965242,,17.07.2000,major
2023,2,17.07.2023,FASY_04,FASY,4.620219218,-2.929910734,-3.630957881,-4.184454206,-2.8927557,-3.611901889,-4.145567184,-2.963980185,-3.64965994,-4.208701277,4.290304689,-2.973458824,-3.600133716,-4.18916807,,17.07.2000,all
2023,2,17.07.2023,FASY_04,FASY,3.104917842,-1.935252945,-2.842350786,-3.665105694,-1.852572778,-2.803782839,-3.638706638,-1.991567149,-2.867224878,-3.693778182,3.073348986,-1.969021082,-2.827854468,-3.68670772,,17.07.2000,major
2023,3,09.08.2023,FASY_01,FASY,5.478425848,-3.548709226,-4.285840711,-4.855629089,-3.460401008,-4.246904517,-4.835892502,-3.646443216,-4.324124407,-4.879092712,1.646659443,-2.568202259,-4.368595799,-4.77729928,,09.08.2000,all
