"campaign","species","sample_id","year","sugar_name","date","sugar_conc"
1,"FASY","FASY_01","2023","fructose_mg_g",2023-06-23,14.5824188931298
1,"FASY","FASY_01","2023","fructose_ppm",2023-06-23,12.2259
1,"FASY","FASY_01","2023","glucose_mg_g",2023-06-23,20.5954198473282
1,"FASY","FASY_01","2023","glucose_ppm",2023-06-23,17.2672
1,"FASY","FASY_01","2023","glucose_starch_1",2023-06-23,43.5587
1,"FASY","FASY_01","2023","starch_mg_g",2023-06-23,14.9629122137405
1,"FASY","FASY_01","2023","sucrose_mg_g",2023-06-23,45.6263120229008
1,"FASY","FASY_01","2023","sucrose_ppm",2023-06-23,38.2531
1,"FASY","FASY_01","2023","sugar_weight_mg",2023-06-23,31.44
1,"FASY","FASY_01","2023","total_sugars_mg_g",2023-06-23,80.8041507633588
1,"FASY","FASY_02","2023","fructose_mg_g",2023-06-23,28.4101035456542
1,"FASY","FASY_02","2023","fructose_ppm",2023-06-23,24.1448
1,"FASY","FASY_02","2023","glucose_mg_g",2023-06-23,38.4380294948227
1,"FASY","FASY_02","2023","glucose_ppm",2023-06-23,32.6672
1,"FASY","FASY_02","2023","glucose_starch_1",2023-06-23,24.0841
1,"FASY","FASY_02","2023","starch_mg_g",2023-06-23,8.16154000627549
1,"FASY","FASY_02","2023","sucrose_mg_g",2023-06-23,17.8879824286163
1,"FASY","FASY_02","2023","sucrose_ppm",2023-06-23,15.2024
1,"FASY","FASY_02","2023","sugar_weight_mg",2023-06-23,31.87
1,"FASY","FASY_02","2023","total_sugars_mg_g",2023-06-23,84.7361154690932
1,"FASY","FASY_03","2023","fructose_mg_g",2023-06-23,32.6362791073739
1,"FASY","FASY_03","2023","fructose_ppm",2023-06-23,26.9097
1,"FASY","FASY_03","2023","glucose_mg_g",2023-06-23,42.7988761319534
1,"FASY","FASY_03","2023","glucose_ppm",2023-06-23,35.2891
1,"FASY","FASY_03","2023","glucose_starch_1",2023-06-23,35.8112
1,"FASY","FASY_03","2023","starch_mg_g",2023-06-23,12.5084398447607
1,"FASY","FASY_03","2023","sucrose_mg_g",2023-06-23,20.8141979301423
1,"FASY","FASY_03","2023","sucrose_ppm",2023-06-23,17.162
1,"FASY","FASY_03","2023","sugar_weight_mg",2023-06-23,30.92
1,"FASY","FASY_03","2023","total_sugars_mg_g",2023-06-23,96.2493531694696
1,"FASY","FASY_04","2023","fructose_mg_g",2023-06-23,5.90698869475848
1,"FASY","FASY_04","2023","fructose_ppm",2023-06-23,4.598
1,"FASY","FASY_04","2023","glucose_mg_g",2023-06-23,11.1631551901336
1,"FASY","FASY_04","2023","glucose_ppm",2023-06-23,8.6894
1,"FASY","FASY_04","2023","glucose_starch_1",2023-06-23,53.8893
1,"FASY","FASY_04","2023","starch_mg_g",2023-06-23,19.9384871531346
1,"FASY","FASY_04","2023","sucrose_mg_g",2023-06-23,49.6485097636177
1,"FASY","FASY_04","2023","sucrose_ppm",2023-06-23,38.6464
1,"FASY","FASY_04","2023","sugar_weight_mg",2023-06-23,29.19
1,"FASY","FASY_04","2023","total_sugars_mg_g",2023-06-23,66.7186536485098
1,"FREX","FREX_05","2023","fructose_mg_g",2023-06-23,21.9921278625954
1,"FREX","FREX_05","2023","fructose_ppm",2023-06-23,18.4382
1,"FREX","FREX_05","2023","glucose_mg_g",2023-06-23,49.4543177480916
1,"FREX","FREX_05","2023","glucose_ppm",2023-06-23,41.4625
1,"FREX","FREX_05","2023","glucose_starch_1",2023-06-23,40.7931
1,"FREX","FREX_05","2023","starch_mg_g",2023-06-23,28.0257938931298
1,"FREX","FREX_05","2023","sucrose_mg_g",2023-06-23,1.15958969465649
1,"FREX","FREX_05","2023","sucrose_ppm",2023-06-23,0.9722
1,"FREX","FREX_05","2023","sugar_weight_mg",2023-06-23,31.44
1,"FREX","FREX_05","2023","total_sugars_mg_g",2023-06-23,72.6060353053435
1,"FREX","FREX_06","2023","fructose_mg_g",2023-06-23,15.7634307257304
1,"FREX","FREX_06","2023","fructose_ppm",2023-06-23,13.38
1,"FREX","FREX_06","2023","glucose_mg_g",2023-06-23,43.2862865221489
1,"FREX","FREX_06","2023","glucose_ppm",2023-06-23,36.7414
1,"FREX","FREX_06","2023","glucose_starch_1",2023-06-23,37.8226
1,"FREX","FREX_06","2023","starch_mg_g",2023-06-23,25.6666088595665
1,"FREX","FREX_06","2023","sucrose_mg_g",2023-06-23,1.37075871819039
1,"FREX","FREX_06","2023","sucrose_ppm",2023-06-23,1.1635
1,"FREX","FREX_06","2023","sugar_weight_mg",2023-06-23,31.83
1,"FREX","FREX_06","2023","total_sugars_mg_g",2023-06-23,60.4204759660698
1,"FREX","FREX_07","2023","fructose_mg_g",2023-06-23,29.210424544517
1,"FREX","FREX_07","2023","fructose_ppm",2023-06-23,22.6595
1,"FREX","FREX_07","2023","glucose_mg_g",2023-06-23,43.69413887934
1,"FREX","FREX_07","2023","glucose_ppm",2023-06-23,33.895
1,"FREX","FREX_07","2023","glucose_starch_1",2023-06-23,57.3366
1,"FREX","FREX_07","2023","starch_mg_g",2023-06-23,42.5737559298728
1,"FREX","FREX_07","2023","sucrose_mg_g",2023-06-23,2.52264523891372
1,"FREX","FREX_07","2023","sucrose_ppm",2023-06-23,1.9569
1,"FREX","FREX_07","2023","sugar_weight_mg",2023-06-23,29.09
1,"FREX","FREX_07","2023","total_sugars_mg_g",2023-06-23,75.4272086627707
1,"FREX","FREX_08","2023","fructose_mg_g",2023-06-23,17.1730548260013
1,"FREX","FREX_08","2023","fructose_ppm",2023-06-23,13.9491
1,"FREX","FREX_08","2023","glucose_mg_g",2023-06-23,30.821158896914
1,"FREX","FREX_08","2023","glucose_ppm",2023-06-23,25.035
1,"FREX","FREX_08","2023","glucose_starch_1",2023-06-23,10.6512
1,"FREX","FREX_08","2023","starch_mg_g",2023-06-23,3.7765252790545
1,"FREX","FREX_08","2023","sucrose_mg_g",2023-06-23,0.874343401181878
1,"FREX","FREX_08","2023","sucrose_ppm",2023-06-23,0.7102
1,"FREX","FREX_08","2023","sugar_weight_mg",2023-06-23,30.46
1,"FREX","FREX_08","2023","total_sugars_mg_g",2023-06-23,48.8685571240972
2,"FASY","FASY_01","2023","fructose_mg_g",2023-07-17,18.4806454145729
2,"FASY","FASY_01","2023","fructose_ppm",2023-07-17,15.6913
2,"FASY","FASY_01","2023","glucose_mg_g",2023-07-17,22.6170697236181
2,"FASY","FASY_01","2023","glucose_ppm",2023-07-17,19.2034
2,"FASY","FASY_01","2023","glucose_starch_1",2023-07-17,26.52
2,"FASY","FASY_01","2023","starch_mg_g",2023-07-17,8.99547738693467
2,"FASY","FASY_01","2023","sucrose_mg_g",2023-07-17,35.8527795226131
2,"FASY","FASY_01","2023","sucrose_ppm",2023-07-17,30.4414
2,"FASY","FASY_01","2023","sugar_weight_mg",2023-07-17,31.84
2,"FASY","FASY_01","2023","total_sugars_mg_g",2023-07-17,76.950494660804
2,"FASY","FASY_02","2023","fructose_mg_g",2023-07-17,28.6840476190476
2,"FASY","FASY_02","2023","fructose_ppm",2023-07-17,24.0946
2,"FASY","FASY_02","2023","glucose_mg_g",2023-07-17,42.8234523809524
