"campaign","trait","estimate","species","sample_id","date","year"
"1","T5",48.6139014844106,"beech","FASY_01","2020-05-28","2024"
"1","T50",50.2445745642074,"beech","FASY_01","2020-05-28","2024"
"1","T95",51.1851852076197,"beech","FASY_01","2020-05-28","2024"
"1","T5",46.8730583641499,"beech","FASY_02","2020-05-28","2024"
"1","T50",48.1267006656956,"beech","FASY_02","2020-05-28","2024"
"1","T95",48.8461214340555,"beech","FASY_02","2020-05-28","2024"
"1","T5",49.2778851815768,"beech","FASY_03","2020-05-28","2024"
"1","T50",50.4383508403805,"beech","FASY_03","2020-05-28","2024"
"1","T95",51.1026840615832,"beech","FASY_03","2020-05-28","2024"
"1","T5",48.9001193697732,"beech","FASY_04","2020-05-28","2024"
"1","T50",50.4007072044897,"beech","FASY_04","2020-05-28","2024"
"1","T95",51.2644167578352,"beech","FASY_04","2020-05-28","2024"
"1","T5",36.6835442259816,"ash","FREX_05","2020-05-28","2024"
"1","T50",45.4481985229381,"ash","FREX_05","2020-05-28","2024"
"1","T95",51.2653141192339,"ash","FREX_05","2020-05-28","2024"
"1","T5",43.5329304294974,"ash","FREX_06","2020-05-28","2024"
"1","T50",45.5214088248698,"ash","FREX_06","2020-05-28","2024"
"1","T95",46.6788849168102,"ash","FREX_06","2020-05-28","2024"
"1","T5",43.0163085483958,"ash","FREX_07","2020-05-28","2024"
"1","T50",44.8581122485127,"ash","FREX_07","2020-05-28","2024"
"1","T95",45.9279255427951,"ash","FREX_07","2020-05-28","2024"
"1","T5",39.0741254702008,"ash","FREX_08","2020-05-28","2024"
"1","T50",45.2647637556679,"ash","FREX_08","2020-05-28","2024"
"1","T95",49.1661674939837,"ash","FREX_08","2020-05-28","2024"
"2","T5",50.4049653047938,"beech","FASY_01","2020-07-09","2024"
"2","T50",53.3613142517515,"beech","FASY_01","2020-07-09","2024"
"2","T95",55.0987723822632,"beech","FASY_01","2020-07-09","2024"
"2","T5",45.732707327936,"beech","FASY_02","2020-07-09","2024"
"2","T50",52.2229195740688,"beech","FASY_02","2020-07-09","2024"
"2","T95",56.2679579707573,"beech","FASY_02","2020-07-09","2024"
"2","T5",50.423967515183,"beech","FASY_03","2020-07-09","2024"
"2","T50",52.8244099077674,"beech","FASY_03","2020-07-09","2024"
"2","T95",54.2236914655191,"beech","FASY_03","2020-07-09","2024"
"2","T5",51.8506088553517,"beech","FASY_04","2020-07-09","2024"
"2","T50",53.6924289105412,"beech","FASY_04","2020-07-09","2024"
"2","T95",54.7564182144239,"beech","FASY_04","2020-07-09","2024"
"2","T5",33.7488750868491,"ash","FREX_05","2020-07-09","2024"
"2","T50",44.861005921884,"ash","FREX_05","2020-07-09","2024"
"2","T95",52.6451271289402,"ash","FREX_05","2020-07-09","2024"
"2","T5",44.2200352544506,"ash","FREX_06","2020-07-09","2024"
"2","T50",45.7797894647271,"ash","FREX_06","2020-07-09","2024"
"2","T95",46.6806650718746,"ash","FREX_06","2020-07-09","2024"
"2","T5",48.6215011173405,"ash","FREX_07","2020-07-09","2024"
"2","T50",50.6586977911579,"ash","FREX_07","2020-07-09","2024"
"2","T95",51.8411946201055,"ash","FREX_07","2020-07-09","2024"
"2","T5",36.5223273830672,"ash","FREX_08","2020-07-09","2024"
"2","T50",47.7454649461729,"ash","FREX_08","2020-07-09","2024"
"2","T95",55.5077279885468,"ash","FREX_08","2020-07-09","2024"
"3","T5",50.5743059107649,"beech","FASY_01","2020-08-14","2024"
"3","T50",52.9917192657208,"beech","FASY_01","2020-08-14","2024"
"3","T95",54.4010968345335,"beech","FASY_01","2020-08-14","2024"
"3","T5",50.9478994478941,"beech","FASY_02","2020-08-14","2024"
"3","T50",52.4384377903203,"beech","FASY_02","2020-08-14","2024"
"3","T95",53.2954347515912,"beech","FASY_02","2020-08-14","2024"
"3","T5",42.7544249924812,"beech","FASY_03","2020-08-14","2024"
"3","T50",51.6193948248192,"beech","FASY_03","2020-08-14","2024"
"3","T95",57.3873253740918,"beech","FASY_03","2020-08-14","2024"
"3","T5",44.58368136518,"beech","FASY_04","2020-08-14","2024"
"3","T50",52.3538357242288,"beech","FASY_04","2020-08-14","2024"
"3","T95",57.3023293420196,"beech","FASY_04","2020-08-14","2024"
"3","T5",48.5616283597959,"ash","FREX_05","2020-08-14","2024"
"3","T50",50.0959438292194,"ash","FREX_05","2020-08-14","2024"
