"sample_ID","start_measurement","start_equilibration","drying_interval","equilibration_interval","psi_1","psi_2","psi","comment","minutes","campaign"
"FASY_01","2024-05-29 08:07:00",NA,NA,NA,"0.35","0.48",0.415,NA,0,"1"
"FASY_01","2024-05-29 10:29:00","2024-05-29 09:45:00",142,44,"1.43","0.44",0.935,NA,142,"1"
"FASY_01","2024-05-29 11:59:00","2024-05-29 10:50:00",90,69,"5","2.7",3.85,"psi1 too fast",232,"1"
"FASY_01","2024-05-29 13:01:00","2024-05-29 12:35:00",62,26,"8.6999999999999993",NA,8.7,NA,294,"1"
"FASY_01","2024-05-29 14:30:00","2024-05-29 14:00:00",89,30,"14",NA,14,NA,383,"1"
"FASY_01","2024-05-29 16:38:00","2024-05-29 16:10:00",128,28,"17.5",NA,17.5,NA,511,"1"
"FASY_01","2024-05-29 18:47:00","2024-05-29 18:05:00",129,42,"20",NA,20,NA,640,"1"
"FASY_01","2024-05-29 23:57:00","2024-05-29 23:36:00",310,21,"24.5",NA,24.5,NA,950,"1"
"FASY_01","2024-05-30 07:20:00","2024-05-30 07:00:00",443,20,"34.4",NA,34.4,NA,1393,"1"
"FASY_01","2024-05-30 11:51:00","2024-05-30 11:30:00",271,21,NA,NA,38,"38, air was escaping",1664,"1"
"FASY_01","2024-05-30 15:23:00","2024-05-30 15:00:00",212,23,"45+",NA,45,"30, air escaping, sample escaping from collar",1876,"1"
"FASY_01","2024-05-30 18:30:00","2024-05-30 18:00:00",187,30,"48",NA,48,NA,2063,"1"
"FASY_01","2024-05-31 11:53:00","2024-05-31 11:22:00",1043,31,"53+",NA,53,"air escaping",3106,"1"
"FASY_02","2024-05-29 08:13:00",NA,NA,NA,"0.32","0.34",0.33,NA,0,"1"
"FASY_02","2024-05-29 10:25:00","2024-05-29 09:45:00",132,40,"2.5","4.36",3.43,NA,132,"1"
"FASY_02","2024-05-29 11:43:00","2024-05-29 10:50:00",78,53,"0.7","4.3",4.3,NA,210,"1"
"FASY_02","2024-05-29 13:04:00","2024-05-29 12:35:00",81,29,"11.3",NA,11.3,NA,291,"1"
"FASY_02","2024-05-29 14:33:00","2024-05-29 14:00:00",89,33,"12",NA,12,NA,380,"1"
"FASY_02","2024-05-29 16:40:00","2024-05-29 16:10:00",127,30,"12.3",NA,12.3,NA,507,"1"
"FASY_02","2024-05-29 18:36:00","2024-05-29 18:05:00",116,31,"14.1",NA,14.1,NA,623,"1"
"FASY_02","2024-05-30","2024-05-29 23:36:00",324,24,"18",NA,18,NA,947,"1"
"FASY_02","2024-05-30 07:24:00","2024-05-30 07:00:00",444,24,"24.8",NA,24.8,NA,1391,"1"
