 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,0,NaN,NaN,4536,NaN,NaN,0.000,1,228,255
2,0,NaN,NaN,4536,NaN,NaN,0.000,2,228,255
3,0,NaN,NaN,4536,NaN,NaN,0.000,3,228,255
4,50,726.460,326.100,4536,10.921,5.829,51.769,4,228,255
5,3,708.167,362.500,4536,4.116,0.928,158.266,5,228,255
6,296,822.111,673.095,4536,21.760,17.319,43.602,6,228,255
7,103,758.811,734.675,4536,14.264,9.194,9.644,7,228,255
8,17,822.618,774.029,4536,5.903,3.667,147.834,8,228,255
9,9,892.722,702.056,4536,4.968,2.307,29.627,9,228,255
10,1,861.500,901.500,4536,1.128,1.128,0.000,10,228,255
11,11,809.955,550.500,4536,5.387,2.600,6.426,11,228,255
12,0,NaN,NaN,4536,NaN,NaN,0.000,12,228,255
13,6,566.833,139.167,4536,79.815,0.096,166.912,13,228,255
14,1,164.500,74.500,4536,1.128,1.128,0.000,14,228,255
15,2,812.000,178.000,4536,65.642,0.039,8.180,15,228,255
16,1,717.500,971.500,4536,1.128,1.128,0.000,16,228,255
17,11,174.136,75.409,4536,4.384,3.195,164.929,17,228,255
18,0,NaN,NaN,4536,NaN,NaN,0.000,18,228,255
19,4,452.250,707.500,4536,3.144,1.620,134.190,19,228,255
20,4,957.750,395.500,4536,75.678,0.067,157.568,20,228,255
21,0,NaN,NaN,4536,NaN,NaN,0.000,21,228,255
22,9,562.167,659.056,4536,4.310,2.659,1.968,22,228,255
23,2,1295.500,490.500,4536,23.574,0.108,90.000,23,228,255
24,1,0.500,66.500,4536,1.128,1.128,0.000,24,228,255
25,0,NaN,NaN,4536,NaN,NaN,0.000,25,228,255
26,0,NaN,NaN,4536,NaN,NaN,0.000,26,228,255
27,1,479.500,971.500,4536,1.128,1.128,0.000,27,228,255
28,2,0.500,944.000,4536,2.257,1.128,90.000,28,228,255
29,6,948.167,347.333,4536,4.536,1.684,176.163,29,228,255
30,0,NaN,NaN,4536,NaN,NaN,0.000,30,228,255
31,0,NaN,NaN,4536,NaN,NaN,0.000,31,228,255
32,2,313.000,971.500,4536,2.257,1.128,0.000,32,228,255
33,0,NaN,NaN,4536,NaN,NaN,0.000,33,228,255
34,3,1203.833,701.833,4536,45.928,0.083,52.120,34,228,255
35,3,809.500,970.833,4536,61.175,0.062,0.191,35,228,255
36,0,NaN,NaN,4536,NaN,NaN,0.000,36,228,255
37,0,NaN,NaN,4536,NaN,NaN,0.000,37,228,255
38,0,NaN,NaN,4536,NaN,NaN,0.000,38,228,255
39,0,NaN,NaN,4536,NaN,NaN,0.000,39,228,255
40,0,NaN,NaN,4536,NaN,NaN,0.000,40,228,255
41,4,609.000,713.500,4536,3.647,1.397,29.944,41,228,255
42,0,NaN,NaN,4536,NaN,NaN,0.000,42,228,255
43,3,0.500,32.167,4536,17.215,0.222,90.000,43,228,255
44,0,NaN,NaN,4536,NaN,NaN,0.000,44,228,255
45,1,0.500,415.500,4536,1.128,1.128,0.000,45,228,255
46,0,NaN,NaN,4536,NaN,NaN,0.000,46,228,255
47,3,944.500,0.500,4536,3.385,1.128,0.000,47,228,255
48,0,NaN,NaN,4536,NaN,NaN,0.000,48,228,255
49,1,1143.500,971.500,4536,1.128,1.128,0.000,49,228,255
50,2,0.500,7.500,4536,3.030,0.840,90.000,50,228,255
51,3,112.833,332.833,4536,67.962,0.056,109.381,51,228,255
52,1,549.500,0.500,4536,1.128,1.128,90.000,52,228,255
53,2,0.500,1.000,4536,2.257,1.128,90.000,53,228,255
54,1,1177.500,833.500,4536,1.128,1.128,0.000,54,228,255
55,0,NaN,NaN,4536,NaN,NaN,0.000,55,228,255
56,0,NaN,NaN,4536,NaN,NaN,0.000,56,228,255
57,0,NaN,NaN,4536,NaN,NaN,0.000,57,228,255
58,0,NaN,NaN,4536,NaN,NaN,0.000,58,228,255
59,0,NaN,NaN,4536,NaN,NaN,0.000,59,228,255
60,2,0.500,34.000,4536,2.257,1.128,90.000,60,228,255
61,1,1295.500,21.500,4536,1.128,1.128,90.000,61,228,255
62,0,NaN,NaN,4536,NaN,NaN,0.000,62,228,255
63,1,0.500,612.500,4536,1.128,1.128,0.000,63,228,255
64,6,566.667,633.000,4536,5.885,1.298,134.846,64,228,255
65,1,878.500,0.500,4536,1.128,1.128,90.000,65,228,255
66,0,NaN,NaN,4536,NaN,NaN,0.000,66,228,255
67,4,1290.000,0.500,4536,4.514,1.128,0.000,67,228,255
68,2,701.000,971.500,4536,2.257,1.128,0.000,68,228,255
69,0,NaN,NaN,4536,NaN,NaN,0.000,69,228,255
70,2,792.500,903.000,4536,2.257,1.128,90.000,70,228,255
71,0,NaN,NaN,4536,NaN,NaN,0.000,71,228,255
72,1,0.500,53.500,4536,1.128,1.128,90.000,72,228,255
73,1,599.500,971.500,4536,1.128,1.128,0.000,73,228,255
74,0,NaN,NaN,4536,NaN,NaN,0.000,74,228,255
75,4,1079.750,256.000,4536,71.477,0.071,47.867,75,228,255
76,1,444.500,0.500,4536,1.128,1.128,90.000,76,228,255
77,0,NaN,NaN,4536,NaN,NaN,0.000,77,228,255
78,6,239.000,641.500,4536,4.452,1.716,137.594,78,228,255
79,0,NaN,NaN,4536,NaN,NaN,0.000,79,228,255
80,6,432.167,282.167,4536,30.480,0.251,149.533,80,228,255
81,6,604.333,584.167,4536,3.127,2.443,7.423,81,228,255
82,1,0.500,15.500,4536,1.128,1.128,0.000,82,228,255
83,2,0.500,391.000,4536,58.692,0.043,90.000,83,228,255
84,3,1295.500,243.833,4536,67.410,0.057,90.000,84,228,255
85,0,NaN,NaN,4536,NaN,NaN,0.000,85,228,255
86,6,777.333,456.833,4536,6.663,1.147,54.581,86,228,255
87,2,553.000,414.000,4536,75.848,0.034,147.906,87,228,255
88,1,1295.500,624.500,4536,1.128,1.128,0.000,88,228,255
89,0,NaN,NaN,4536,NaN,NaN,0.000,89,228,255
90,0,NaN,NaN,4536,NaN,NaN,0.000,90,228,255
91,1,0.500,129.500,4536,1.128,1.128,0.000,91,228,255
92,3,847.167,195.167,4536,63.826,0.060,139.029,92,228,255
93,0,NaN,NaN,4536,NaN,NaN,0.000,93,228,255
94,3,1295.500,503.500,4536,3.385,1.128,90.000,94,228,255
95,1,1295.500,615.500,4536,1.128,1.128,0.000,95,228,255
96,1,900.500,233.500,4536,1.128,1.128,90.000,96,228,255
97,1,848.500,0.500,4536,1.128,1.128,90.000,97,228,255
98,3,1195.500,37.500,4536,34.434,0.111,19.035,98,228,255
99,1,241.500,287.500,4536,1.128,1.128,0.000,99,228,255
