 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,3,455.167,717.167,4536,2.365,1.615,45.000,1,1,255
2,2,1109.000,564.000,4536,2.596,0.981,135.000,2,1,255
3,0,NaN,NaN,4536,NaN,NaN,0.000,3,1,255
4,16,961.312,606.625,4536,5.232,3.894,171.793,4,1,255
5,7,551.214,726.643,4536,59.564,0.150,92.343,5,1,255
6,6,648.000,142.000,4536,76.332,0.100,8.303,6,1,255
7,1,0.500,428.500,4536,1.128,1.128,0.000,7,1,255
8,0,NaN,NaN,4536,NaN,NaN,0.000,8,1,255
9,0,NaN,NaN,4536,NaN,NaN,0.000,9,1,255
10,10,711.200,335.200,4536,4.785,2.661,31.110,10,1,255
11,2,1295.500,795.000,4536,2.257,1.128,90.000,11,1,255
12,1,1295.500,28.500,4536,1.128,1.128,90.000,12,1,255
13,4,475.750,521.750,4536,77.166,0.066,152.943,13,1,255
14,118,498.076,504.458,4536,16.395,9.164,170.465,14,1,255
15,13,373.885,188.962,4536,9.044,1.830,49.851,15,1,255
16,0,NaN,NaN,4536,NaN,NaN,0.000,16,1,255
17,11,573.955,692.318,4536,4.558,3.073,37.308,17,1,255
18,4,465.500,284.500,4536,16.967,0.300,149.987,18,1,255
19,0,NaN,NaN,4536,NaN,NaN,0.000,19,1,255
20,0,NaN,NaN,4536,NaN,NaN,0.000,20,1,255
21,0,NaN,NaN,4536,NaN,NaN,0.000,21,1,255
22,3,0.500,538.500,4536,3.385,1.128,90.000,22,1,255
23,0,NaN,NaN,4536,NaN,NaN,0.000,23,1,255
24,1,502.500,0.500,4536,1.128,1.128,90.000,24,1,255
25,2,1090.000,0.500,4536,2.257,1.128,0.000,25,1,255
26,5,312.300,556.100,4536,22.650,0.281,118.901,26,1,255
27,1,1128.500,872.500,4536,1.128,1.128,0.000,27,1,255
28,2,1295.500,402.000,4536,2.257,1.128,90.000,28,1,255
29,6,216.333,81.333,4536,15.958,0.479,167.543,29,1,255
30,1,461.500,347.500,4536,1.128,1.128,0.000,30,1,255
31,3,1295.500,761.500,4536,31.935,0.120,90.000,31,1,255
32,0,NaN,NaN,4536,NaN,NaN,0.000,32,1,255
33,1,1220.500,865.500,4536,1.128,1.128,0.000,33,1,255
34,0,NaN,NaN,4536,NaN,NaN,0.000,34,1,255
35,4,114.750,486.000,4536,24.662,0.207,102.570,35,1,255
36,5,0.700,5.100,4536,3.732,1.706,95.152,36,1,255
37,0,NaN,NaN,4536,NaN,NaN,0.000,37,1,255
38,3,0.500,394.500,4536,3.385,1.128,90.000,38,1,255
39,9,428.167,420.167,4536,6.989,1.640,24.034,39,1,255
40,4,23.000,262.750,4536,80.445,0.063,95.913,40,1,255
41,1,0.500,0.500,4536,1.128,1.128,0.000,41,1,255
42,11,1024.864,676.045,4536,3.994,3.507,108.435,42,1,255
