 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,105,734.967,459.100,4536,12.492,10.702,143.774,1,1,255
2,851,523.052,388.971,4536,44.328,24.443,170.837,2,1,255
3,174,509.960,324.391,4536,22.925,9.664,11.125,3,1,255
4,137,695.697,544.551,4536,21.334,8.176,163.606,4,1,255
5,314,492.325,477.029,4536,29.016,13.778,28.304,5,1,255
6,111,818.050,501.464,4536,15.228,9.281,161.560,6,1,255
7,99,770.732,588.177,4536,16.930,7.446,14.638,7,1,255
8,102,766.549,561.402,4536,12.670,10.250,163.893,8,1,255
9,78,771.256,490.500,4536,13.683,7.258,164.694,9,1,255
10,146,360.295,308.829,4536,18.180,10.225,164.226,10,1,255
11,64,775.172,499.672,4536,11.324,7.196,176.625,11,1,255
12,96,590.365,532.198,4536,12.528,9.756,179.575,12,1,255
13,87,902.891,356.845,4536,12.141,9.124,21.667,13,1,255
14,67,850.172,412.037,4536,12.091,7.055,34.440,14,1,255
15,111,381.590,488.086,4536,16.461,8.586,167.986,15,1,255
16,82,710.671,442.244,4536,12.561,8.312,24.908,16,1,255
17,37,889.878,522.473,4536,8.965,5.255,9.218,17,1,255
18,89,310.388,522.635,4536,13.892,8.157,5.374,18,1,255
19,486,485.981,357.424,4536,34.078,18.158,160.928,19,1,255
20,255,468.316,466.100,4536,26.381,12.307,174.001,20,1,255
21,123,393.947,288.939,4536,16.542,9.467,174.225,21,1,255
22,85,711.582,471.206,4536,13.726,7.885,26.446,22,1,255
23,292,440.709,288.274,4536,31.813,11.687,150.463,23,1,255
24,95,292.395,252.753,4536,15.584,7.762,161.995,24,1,255
25,146,648.575,361.041,4536,17.629,10.545,149.189,25,1,255
26,117,851.705,549.996,4536,17.446,8.539,1.987,26,1,255
27,77,677.500,431.734,4536,13.345,7.347,151.887,27,1,255
28,147,733.289,382.922,4536,19.803,9.452,10.996,28,1,255
29,61,814.598,584.107,4536,11.748,6.611,168.043,29,1,255
30,96,644.750,547.542,4536,14.600,8.372,8.336,30,1,255
31,90,854.633,518.000,4536,12.207,9.387,11.268,31,1,255
32,67,496.470,548.336,4536,12.606,6.767,12.237,32,1,255
33,82,929.707,613.817,4536,13.668,7.639,165.272,33,1,255
34,49,613.663,643.990,4536,10.117,6.167,178.381,34,1,255
35,94,663.660,387.383,4536,14.368,8.330,15.526,35,1,255
36,66,766.636,397.409,4536,11.486,7.316,173.118,36,1,255
37,99,625.773,590.995,4536,15.474,8.146,6.493,37,1,255
