 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,129,680.345,388.911,4536,16.144,10.174,43.292,1,1,255
2,382,743.351,713.401,4536,24.088,20.192,173.425,2,1,255
3,134,576.657,447.575,4536,14.780,11.544,5.853,3,1,255
4,145,368.341,432.679,4536,16.513,11.180,151.547,4,1,255
5,295,841.469,585.181,4536,23.052,16.294,6.835,5,1,255
6,179,781.466,547.411,4536,17.134,13.302,171.388,6,1,255
7,65,521.823,441.746,4536,12.786,6.473,25.905,7,1,255
8,343,614.867,550.853,4536,22.825,19.133,36.789,8,1,255
9,73,753.048,414.870,4536,12.125,7.666,11.092,9,1,255
10,108,674.676,247.120,4536,13.970,9.843,177.588,10,1,255
11,134,693.470,399.321,4536,16.898,10.097,172.166,11,1,255
12,295,567.910,539.571,4536,22.620,16.605,172.895,12,1,255
13,456,708.779,527.864,4536,26.460,21.943,158.347,13,1,255
14,104,450.846,536.452,4536,16.506,8.023,163.890,14,1,255
15,116,423.543,563.569,4536,15.760,9.371,2.711,15,1,255
16,194,539.552,367.701,4536,17.819,13.862,174.181,16,1,255
17,84,745.024,498.238,4536,13.670,7.824,27.869,17,1,255
18,479,860.947,538.773,4536,25.142,24.257,41.179,18,1,255
19,218,402.986,538.482,4536,16.700,16.621,121.366,19,1,255
20,357,738.478,535.071,4536,22.279,20.403,6.802,20,1,255
21,247,805.443,464.209,4536,18.877,16.660,47.167,21,1,255
22,942,782.253,445.743,4536,40.391,29.695,140.570,22,1,255
23,392,616.337,400.735,4536,25.289,19.736,170.403,23,1,255
24,672,765.442,557.266,4536,30.286,28.251,120.002,24,1,255
25,1296,728.748,550.986,4536,43.349,38.066,29.397,25,1,255
26,244,668.779,430.955,4536,20.790,14.943,16.270,26,1,255
27,1120,722.831,527.376,4536,39.549,36.057,46.278,27,1,255
28,0,NaN,NaN,4536,NaN,NaN,0.000,28,1,255
29,0,NaN,NaN,4536,NaN,NaN,0.000,29,1,255
30,0,NaN,NaN,4536,NaN,NaN,0.000,30,1,255
31,0,NaN,NaN,4536,NaN,NaN,0.000,31,1,255
32,0,NaN,NaN,4536,NaN,NaN,0.000,32,1,255
33,0,NaN,NaN,4536,NaN,NaN,0.000,33,1,255
34,0,NaN,NaN,4536,NaN,NaN,0.000,34,1,255
35,0,NaN,NaN,4536,NaN,NaN,0.000,35,1,255
36,0,NaN,NaN,4536,NaN,NaN,0.000,36,1,255
37,0,NaN,NaN,4536,NaN,NaN,0.000,37,1,255
38,0,NaN,NaN,4536,NaN,NaN,0.000,38,1,255
39,0,NaN,NaN,4536,NaN,NaN,0.000,39,1,255
40,0,NaN,NaN,4536,NaN,NaN,0.000,40,1,255
41,0,NaN,NaN,4536,NaN,NaN,0.000,41,1,255
42,0,NaN,NaN,4536,NaN,NaN,0.000,42,1,255
43,0,NaN,NaN,4536,NaN,NaN,0.000,43,1,255
44,0,NaN,NaN,4536,NaN,NaN,0.000,44,1,255
45,0,NaN,NaN,4536,NaN,NaN,0.000,45,1,255
46,0,NaN,NaN,4536,NaN,NaN,0.000,46,1,255
47,817,245.684,720.762,4536,53.608,19.405,84.766,47,1,255
48,0,NaN,NaN,4536,NaN,NaN,0.000,48,1,255
49,0,NaN,NaN,4536,NaN,NaN,0.000,49,1,255
50,377,259.837,711.489,4536,40.184,11.945,96.793,50,1,255
51,485,217.729,680.446,4536,31.099,19.857,93.647,51,1,255
52,338,425.530,441.873,4536,24.367,17.661,107.721,52,1,255
53,834,276.320,649.323,4536,37.440,28.363,54.250,53,1,255
54,1422,311.874,419.374,4536,72.854,24.852,68.946,54,1,255
55,1722,337.236,426.375,4536,62.745,34.943,55.491,55,1,255
56,2367,336.187,470.644,4536,74.652,40.371,70.423,56,1,255
57,1626,354.520,412.820,4536,78.377,26.415,83.102,57,1,255
58,1978,389.686,452.298,4536,89.346,28.188,90.431,58,1,255
59,1196,395.209,338.029,4536,46.630,32.657,107.573,59,1,255
60,1721,351.804,677.401,4536,74.005,29.609,99.223,60,1,255
61,529,314.829,404.143,4536,55.122,12.219,111.657,61,1,255
62,965,304.484,273.211,4536,76.196,16.125,51.715,62,1,255
63,1325,405.997,530.138,4536,133.722,12.616,73.878,63,1,255
64,350,194.317,339.020,4536,59.459,7.495,58.607,64,1,255
65,573,605.284,680.158,4536,32.592,22.385,150.593,65,1,255
66,1112,776.857,897.379,4536,56.172,25.205,121.061,66,1,255
67,0,NaN,NaN,4536,NaN,NaN,0.000,67,1,255
68,3189,829.949,723.959,4536,98.706,41.136,58.375,68,1,255
69,841,589.961,576.647,4536,117.049,9.148,55.121,69,1,255
70,3326,769.485,600.123,4536,119.728,35.370,73.214,70,1,255
71,0,NaN,NaN,4536,NaN,NaN,0.000,71,1,255
72,2690,670.154,455.125,4536,70.563,48.538,25.405,72,1,255
73,18698,755.395,563.888,4536,160.651,148.191,163.365,73,1,255
74,12921,749.536,485.111,4536,141.381,116.363,149.864,74,1,255
75,15711,740.959,546.442,4536,153.631,130.207,164.024,75,1,255
76,2937,826.786,466.684,4536,69.487,53.816,103.580,76,1,255
77,5161,766.652,499.809,4536,94.752,69.351,94.998,77,1,255
78,2349,722.264,666.584,4536,63.645,46.992,86.454,78,1,255
79,2126,805.381,520.399,4536,100.243,27.003,89.866,79,1,255
80,9069,718.573,510.702,4536,114.231,101.085,142.987,80,1,255
81,3599,794.657,550.700,4536,85.353,53.687,88.979,81,1,255
82,2324,733.005,502.711,4536,66.529,44.477,96.999,82,1,255
83,0,NaN,NaN,4536,NaN,NaN,0.000,83,1,255
84,2061,758.120,578.678,4536,52.711,49.784,145.616,84,1,255
85,1907,816.160,500.878,4536,71.596,33.913,78.343,85,1,255
86,1741,895.669,579.174,4536,64.444,34.397,79.276,86,1,255
87,2730,870.762,492.239,4536,83.148,41.804,67.918,87,1,255
88,2535,848.479,636.076,4536,75.864,42.545,75.074,88,1,255
89,2097,724.621,564.182,4536,64.736,41.244,45.630,89,1,255
90,1528,826.250,466.228,4536,73.824,26.353,101.430,90,1,255
91,4544,829.380,539.873,4536,105.997,54.582,90.702,91,1,255
92,2544,839.963,628.040,4536,63.588,50.940,55.471,92,1,255
93,1229,734.463,538.365,4536,81.213,19.268,69.946,93,1,255
94,758,703.285,552.388,4536,152.237,6.340,35.168,94,1,255
95,2628,750.691,547.946,4536,81.973,40.819,97.847,95,1,255
96,2868,926.252,479.996,4536,77.131,47.343,89.059,96,1,255
97,0,NaN,NaN,4536,NaN,NaN,0.000,97,1,255
98,1624,813.336,613.488,4536,55.230,37.438,73.009,98,1,255
99,1252,798.947,606.271,4536,40.810,39.061,110.805,99,1,255
100,2319,809.216,514.794,4536,95.105,31.046,89.127,100,1,255
101,1822,884.720,619.865,4536,69.431,33.412,102.689,101,1,255
102,1678,847.703,480.631,4536,59.552,35.876,106.125,102,1,255
103,1564,828.980,475.600,4536,69.800,28.529,69.516,103,1,255
