 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,0,NaN,NaN,4536,NaN,NaN,0.000,1,1,255
2,0,NaN,NaN,4536,NaN,NaN,0.000,2,1,255
3,0,NaN,NaN,4536,NaN,NaN,0.000,3,1,255
4,258,645.647,463.256,4536,21.508,15.273,135.846,4,1,255
5,328,673.366,697.244,4536,22.587,18.489,14.598,5,1,255
6,218,655.110,713.183,4536,19.319,14.368,139.005,6,1,255
7,197,569.586,685.571,4536,16.464,15.235,166.588,7,1,255
8,316,715.854,711.481,4536,23.125,17.399,129.239,8,1,255
9,442,691.729,821.057,4536,30.568,18.411,2.153,9,1,255
10,92,677.120,359.391,4536,14.067,8.327,164.353,10,1,255
11,135,666.641,709.767,4536,17.460,9.844,147.897,11,1,255
12,167,595.302,804.003,4536,20.240,10.506,148.430,12,1,255
13,219,522.961,628.979,4536,21.465,12.990,169.583,13,1,255
14,47,472.287,469.734,4536,10.447,5.728,19.088,14,1,255
15,62,928.968,624.000,4536,9.887,7.984,0.459,15,1,255
16,49,261.745,488.990,4536,9.272,6.729,33.240,16,1,255
17,69,770.341,573.529,4536,12.404,7.083,169.846,17,1,255
18,169,427.121,373.488,4536,18.063,11.913,0.078,18,1,255
19,50,730.680,503.280,4536,13.161,4.837,167.162,19,1,255
20,89,552.904,528.343,4536,12.386,9.149,23.236,20,1,255
21,66,270.561,751.136,4536,13.753,6.110,168.099,21,1,255
22,54,591.648,375.759,4536,9.017,7.625,176.742,22,1,255
23,185,960.722,456.435,4536,19.121,12.319,174.159,23,1,255
24,27,583.093,265.537,4536,8.052,4.270,166.926,24,1,255
25,58,706.069,524.138,4536,10.898,6.777,163.442,25,1,255
26,29,516.603,587.879,4536,7.488,4.931,171.092,26,1,255
27,45,811.456,706.700,4536,9.591,5.974,174.593,27,1,255
28,85,631.912,463.382,4536,14.368,7.532,151.909,28,1,255
29,22,1199.636,467.091,4536,7.279,3.848,39.334,29,1,255
30,139,446.342,329.277,4536,18.517,9.558,158.388,30,1,255
31,33,806.591,648.106,4536,7.940,5.292,156.705,31,1,255
32,122,683.943,292.369,4536,17.378,8.939,9.382,32,1,255
33,58,746.224,544.897,4536,13.477,5.479,161.564,33,1,255
34,80,743.825,558.150,4536,12.944,7.869,155.797,34,1,255
35,52,897.558,458.462,4536,10.595,6.249,12.466,35,1,255
36,135,750.819,448.463,4536,18.935,9.078,168.196,36,1,255
37,10,896.000,724.500,4536,5.610,2.270,21.823,37,1,255
38,108,872.685,596.796,4536,15.713,8.751,21.423,38,1,255
39,28,560.464,507.000,4536,9.086,3.924,21.618,39,1,255
40,21,316.881,445.214,4536,5.978,4.473,148.887,40,1,255
41,62,764.613,364.177,4536,13.023,6.062,166.691,41,1,255
42,70,703.900,421.271,4536,11.886,7.498,14.656,42,1,255
43,39,289.731,562.346,4536,12.481,3.979,136.167,43,1,255
44,67,669.575,586.784,4536,11.100,7.685,9.969,44,1,255
45,86,1078.570,380.709,4536,12.694,8.626,74.091,45,1,255
46,71,526.275,490.035,4536,11.687,7.735,157.915,46,1,255
47,23,871.413,590.587,4536,7.263,4.032,3.992,47,1,255
48,75,507.607,453.260,4536,13.024,7.332,159.266,48,1,255
49,41,870.793,562.817,4536,8.767,5.954,173.718,49,1,255
50,119,419.912,603.441,4536,19.174,7.902,13.502,50,1,255
