 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,61,788.746,619.861,4536,10.875,7.142,150.906,1,1,255
2,69,153.616,473.225,4536,10.881,8.074,168.676,2,1,255
3,38,693.421,451.395,4536,11.145,4.341,1.852,3,1,255
4,53,654.575,476.123,4536,9.192,7.341,15.257,4,1,255
5,48,340.604,597.521,4536,10.056,6.077,163.789,5,1,255
6,69,696.239,775.109,4536,13.745,6.392,3.638,6,1,255
7,23,489.370,387.457,4536,7.947,3.685,19.419,7,1,255
8,40,869.675,388.450,4536,9.869,5.161,171.181,8,1,255
9,58,723.259,382.431,4536,10.758,6.865,143.545,9,1,255
10,44,920.250,360.841,4536,9.545,5.869,20.597,10,1,255
11,20,461.350,534.650,4536,6.333,4.021,8.302,11,1,255
12,11,477.955,728.045,4536,4.420,3.168,10.478,12,1,255
13,85,904.276,566.512,4536,13.222,8.185,164.063,13,1,255
14,146,927.377,588.938,4536,15.352,12.109,21.763,14,1,255
15,28,627.107,701.321,4536,8.136,4.382,2.732,15,1,255
16,31,674.565,324.823,4536,8.910,4.430,26.747,16,1,255
17,39,869.167,645.551,4536,8.106,6.126,13.768,17,1,255
18,87,854.040,781.063,4536,15.150,7.312,174.270,18,1,255
19,84,567.071,465.131,4536,14.620,7.315,177.002,19,1,255
20,14,684.857,283.857,4536,8.200,2.174,143.746,20,1,255
21,40,807.250,538.050,4536,9.045,5.631,165.371,21,1,255
22,69,503.514,624.935,4536,12.642,6.949,21.955,22,1,255
23,16,356.000,332.312,4536,5.631,3.618,68.019,23,1,255
24,77,449.448,482.994,4536,11.709,8.373,179.197,24,1,255
25,34,711.824,398.029,4536,8.210,5.273,12.667,25,1,255
26,45,422.056,455.767,4536,9.035,6.341,5.053,26,1,255
27,35,824.271,341.643,4536,9.098,4.898,24.432,27,1,255
28,54,856.352,428.296,4536,10.664,6.448,176.656,28,1,255
29,55,717.264,425.555,4536,11.178,6.265,165.540,29,1,255
30,63,412.865,634.071,4536,12.400,6.469,170.509,30,1,255
31,79,914.791,372.424,4536,12.139,8.286,171.212,31,1,255
32,29,230.983,637.500,4536,9.837,3.754,120.114,32,1,255
33,57,499.570,357.412,4536,12.090,6.003,159.245,33,1,255
34,32,552.656,683.125,4536,8.265,4.930,174.343,34,1,255
35,47,585.394,415.947,4536,10.620,5.635,8.733,35,1,255
36,262,1028.809,643.267,4536,19.456,17.146,16.551,36,1,255
37,40,321.975,348.300,4536,9.197,5.537,1.263,37,1,255
38,54,618.963,519.500,4536,10.562,6.510,176.483,38,1,255
39,54,507.722,639.981,4536,10.283,6.686,157.104,39,1,255
40,24,965.167,358.875,4536,6.573,4.649,2.312,40,1,255
41,118,742.576,515.483,4536,15.836,9.487,10.590,41,1,255
42,19,372.132,174.500,4536,7.894,3.065,7.374,42,1,255
43,79,695.348,637.627,4536,15.515,6.483,168.601,43,1,255
44,59,845.229,407.924,4536,13.281,5.656,179.841,44,1,255
45,44,617.659,543.977,4536,11.021,5.083,166.269,45,1,255
46,49,460.786,555.602,4536,9.961,6.263,6.148,46,1,255
47,61,398.566,636.533,4536,10.205,7.610,171.533,47,1,255
48,429,1005.698,647.675,4536,27.331,19.986,102.861,48,1,255
49,25,541.780,461.740,4536,7.081,4.495,19.760,49,1,255
50,9740,447.553,544.337,4536,135.575,91.472,45.766,50,1,255
51,4697,309.523,461.830,4536,89.462,66.848,9.607,51,1,255
52,929,394.955,485.590,4536,47.616,24.841,169.367,52,1,255
53,38,984.211,595.789,4536,8.999,5.377,5.819,53,1,255
54,499,634.490,527.233,4536,38.772,16.387,9.617,54,1,255
55,143,609.066,608.325,4536,20.918,8.704,9.674,55,1,255
56,44,479.000,650.727,4536,8.907,6.290,7.282,56,1,255
57,16,623.062,474.375,4536,5.309,3.837,141.740,57,1,255
58,91,366.258,387.379,4536,11.167,10.376,4.781,58,1,255
59,57,792.377,492.939,4536,14.719,4.931,156.956,59,1,255
60,549,581.819,307.784,4536,32.431,21.554,152.134,60,1,255
61,37,983.257,509.203,4536,7.709,6.111,154.005,61,1,255
62,504,205.137,851.772,4536,39.934,16.069,29.160,62,1,255
63,69,313.558,820.297,4536,11.487,7.648,157.563,63,1,255
64,117,627.500,568.261,4536,15.286,9.746,3.084,64,1,255
65,79,494.108,534.335,4536,15.478,6.499,157.945,65,1,255
66,251,943.663,375.173,4536,27.263,11.722,16.686,66,1,255
67,995,379.152,692.757,4536,50.085,25.295,24.550,67,1,255
68,195,668.654,475.013,4536,22.910,10.837,160.050,68,1,255
69,56,595.125,283.786,4536,10.959,6.506,172.837,69,1,255
70,82,540.878,762.207,4536,14.064,7.424,13.581,70,1,255
71,69,358.601,549.877,4536,13.190,6.661,15.770,71,1,255
72,30,732.367,545.800,4536,10.329,3.698,154.882,72,1,255
73,834,858.968,438.108,4536,38.450,27.617,21.274,73,1,255
74,255,278.076,890.516,4536,26.605,12.204,2.816,74,1,255
75,393,811.095,385.907,4536,40.809,12.262,177.340,75,1,255
76,241,615.512,370.737,4536,20.015,15.331,155.514,76,1,255
77,101,928.183,464.193,4536,18.229,7.055,9.130,77,1,255
78,207,854.635,558.664,4536,19.037,13.845,176.236,78,1,255
79,67,645.052,586.291,4536,11.752,7.259,159.973,79,1,255
80,32,938.938,422.312,4536,9.215,4.421,178.214,80,1,255
81,177,673.059,490.155,4536,19.475,11.572,4.521,81,1,255
82,79,144.247,563.259,4536,14.969,6.720,15.803,82,1,255
83,166,885.373,421.819,4536,16.366,12.915,1.714,83,1,255
84,179,928.612,471.573,4536,20.764,10.976,157.893,84,1,255
85,183,546.609,514.620,4536,20.782,11.212,5.089,85,1,255
86,80,644.250,767.337,4536,16.420,6.203,145.428,86,1,255
87,138,896.304,408.870,4536,15.647,11.229,4.180,87,1,255
88,64,561.969,534.266,4536,10.695,7.619,172.239,88,1,255
89,354,533.260,509.446,4536,31.787,14.180,169.326,89,1,255
90,297,933.594,781.163,4536,25.098,15.067,146.890,90,1,255
91,115,576.709,525.170,4536,16.028,9.135,17.788,91,1,255
92,277,888.392,413.572,4536,22.991,15.340,178.151,92,1,255
93,131,978.943,775.637,4536,19.165,8.703,156.195,93,1,255
94,293,636.483,529.282,4536,26.318,14.175,163.905,94,1,255
95,870,242.895,548.041,4536,62.913,17.607,158.857,95,1,255
96,48,541.021,546.354,4536,11.171,5.471,17.406,96,1,255
97,797,374.050,352.928,4536,49.140,20.651,177.369,97,1,255
98,104,525.567,518.933,4536,13.820,9.582,172.040,98,1,255
99,128,405.469,400.344,4536,15.270,10.673,169.505,99,1,255
100,61,469.172,340.844,4536,12.001,6.472,150.009,100,1,255
101,125,574.516,747.004,4536,15.823,10.059,11.373,101,1,255
102,136,421.316,512.434,4536,14.459,11.976,30.103,102,1,255
103,598,715.057,428.120,4536,41.071,18.538,174.966,103,1,255
104,79,819.285,557.171,4536,12.330,8.158,140.747,104,1,255
105,935,1075.855,649.334,4536,51.289,23.211,149.692,105,1,255
106,687,1197.461,656.876,4536,34.039,25.698,153.188,106,1,255
107,82,456.976,557.829,4536,13.297,7.852,25.281,107,1,255
108,840,175.181,435.236,4536,58.083,18.414,166.935,108,1,255
109,41,821.671,491.378,4536,9.730,5.365,174.222,109,1,255
110,35,567.757,442.186,4536,8.274,5.386,171.575,110,1,255
111,154,774.662,480.065,4536,20.990,9.342,162.302,111,1,255
112,211,434.438,558.979,4536,24.736,10.861,171.920,112,1,255
113,77,276.903,713.695,4536,14.321,6.846,20.874,113,1,255
114,193,650.666,503.417,4536,21.532,11.412,160.291,114,1,255
115,1587,1050.031,542.146,4536,84.603,23.884,174.145,115,1,255
116,103,621.131,479.209,4536,17.498,7.495,164.394,116,1,255
117,137,1042.500,603.799,4536,20.528,8.498,174.305,117,1,255
118,77,643.149,612.851,4536,13.352,7.343,146.640,118,1,255
119,119,801.273,433.660,4536,14.430,10.500,19.288,119,1,255
120,149,445.138,493.285,4536,18.448,10.284,173.225,120,1,255
121,29,304.086,738.810,4536,8.330,4.433,24.252,121,1,255
122,102,681.775,302.020,4536,16.158,8.038,159.402,122,1,255
123,139,406.860,530.910,4536,19.027,9.302,171.558,123,1,255
124,907,392.471,467.771,4536,64.255,17.973,85.060,124,1,255
125,847,909.217,530.803,4536,55.235,19.525,167.492,125,1,255
126,145,595.079,513.024,4536,18.890,9.773,160.671,126,1,255
127,23,821.326,611.239,4536,7.726,3.790,149.465,127,1,255
128,476,320.143,851.868,4536,30.279,20.016,31.593,128,1,255
129,96,925.146,386.656,4536,13.641,8.961,12.462,129,1,255
130,141,675.748,690.479,4536,18.714,9.593,151.392,130,1,255
131,413,459.660,558.887,4536,34.149,15.399,174.465,131,1,255
132,73,594.925,666.774,4536,12.021,7.732,139.078,132,1,255
133,634,388.151,696.476,4536,51.687,15.618,167.143,133,1,255
134,79,481.804,597.335,4536,16.601,6.059,149.214,134,1,255
135,252,778.861,474.611,4536,21.108,15.201,4.430,135,1,255
136,243,436.949,330.265,4536,19.542,15.832,159.985,136,1,255
137,50,702.100,402.160,4536,9.894,6.435,155.791,137,1,255
138,179,591.880,424.768,4536,18.573,12.271,174.597,138,1,255
139,222,796.005,719.505,4536,33.245,8.502,5.034,139,1,255
140,350,668.529,425.769,4536,30.017,14.846,3.740,140,1,255
141,2357,356.539,327.664,4536,82.174,36.520,163.472,141,1,255
142,290,633.548,453.538,4536,25.656,14.392,172.756,142,1,255
143,469,769.306,774.788,4536,34.739,17.189,123.337,143,1,255
144,112,774.259,629.250,4536,18.093,7.882,148.351,144,1,255
145,754,631.984,501.617,4536,49.151,19.532,142.102,145,1,255
146,156,700.462,549.795,4536,18.213,10.906,151.245,146,1,255
147,4044,841.728,297.138,4536,118.500,43.451,50.155,147,1,255
148,2809,1112.134,273.501,4536,143.626,24.902,18.019,148,1,255
149,236,922.352,477.093,4536,19.332,15.543,4.131,149,1,255
150,49,307.765,644.663,4536,9.540,6.539,12.143,150,1,255
151,241,496.554,439.546,4536,29.058,10.560,174.584,151,1,255
152,3647,1041.073,758.631,4536,122.551,37.890,167.811,152,1,255
153,164,739.378,680.543,4536,24.242,8.614,165.955,153,1,255
154,120,645.425,561.725,4536,18.338,8.332,161.923,154,1,255
155,142,933.148,692.930,4536,17.244,10.485,152.495,155,1,255
156,253,632.717,647.607,4536,28.127,11.453,9.681,156,1,255
157,166,516.193,443.030,4536,19.043,11.099,151.109,157,1,255
158,82,811.415,541.890,4536,13.910,7.506,6.233,158,1,255
159,3764,1053.010,214.356,4536,90.741,52.815,28.025,159,1,255
160,222,951.986,405.550,4536,20.942,13.497,8.004,160,1,255
161,104,649.663,417.615,4536,15.447,8.572,171.566,161,1,255
162,267,985.058,222.110,4536,28.602,11.886,8.385,162,1,255
163,901,1217.314,747.265,4536,52.560,21.826,153.943,163,1,255
164,236,361.771,397.725,4536,26.401,11.382,13.018,164,1,255
165,184,835.745,546.321,4536,22.564,10.383,161.995,165,1,255
166,62,835.774,510.710,4536,10.725,7.360,169.527,166,1,255
167,232,827.953,428.138,4536,19.390,15.234,17.806,167,1,255
168,31,645.403,394.145,4536,9.295,4.247,24.138,168,1,255
169,194,952.840,537.407,4536,20.657,11.957,162.637,169,1,255
170,112,908.027,669.768,4536,15.474,9.215,164.453,170,1,255
171,41,670.427,396.573,4536,9.667,5.400,164.117,171,1,255
172,109,955.399,372.729,4536,12.246,11.333,166.277,172,1,255
173,33,739.652,412.803,4536,8.920,4.711,12.964,173,1,255
174,8936,776.033,189.325,4536,142.394,79.903,97.002,174,1,255
175,1662,739.477,518.644,4536,60.778,34.817,93.203,175,1,255
176,344,836.892,269.587,4536,23.066,18.989,76.753,176,1,255
177,221,690.925,306.857,4536,22.003,12.788,155.221,177,1,255
178,235,946.581,286.053,4536,25.476,11.745,20.927,178,1,255
179,45,586.100,545.344,4536,11.635,4.924,146.520,179,1,255
180,432,729.653,399.171,4536,32.264,17.048,171.362,180,1,255
181,187,775.762,171.628,4536,20.370,11.688,177.152,181,1,255
182,398,637.794,513.028,4536,32.937,15.386,177.035,182,1,255
183,39,318.064,441.244,4536,9.042,5.492,146.833,183,1,255
184,304,1106.849,553.691,4536,27.525,14.062,4.041,184,1,255
185,98,812.061,436.367,4536,14.475,8.620,147.159,185,1,255
186,115,383.274,468.074,4536,13.990,10.466,30.357,186,1,255
187,30,768.167,547.867,4536,8.259,4.625,172.072,187,1,255
188,141,733.755,429.046,4536,17.477,10.272,179.942,188,1,255
189,54,368.019,291.630,4536,12.880,5.338,11.801,189,1,255
190,66,659.045,579.227,4536,11.760,7.145,7.903,190,1,255
