"sample_ID","start_measurement","start_equilibration","drying_interval","equilibration_interval","psi_1","psi_2","psi","comment","year","campaign","minutes"
"FASY_01",2023-06-14 11:34:00,2023-06-14 11:04:00,NA,30,"0.32",NA,0.32,NA,"2023","1",0
"FASY_01",2023-06-14 11:56:00,2023-06-14 11:26:00,1320,30,"2.17","2.65",2.41,NA,"2023","1",22
"FASY_01",2023-06-14 13:29:00,2023-06-14 12:59:00,5580,30,"14.64","13.98",14.31,NA,"2023","1",115
"FASY_01",2023-06-14 15:02:00,2023-06-14 14:32:00,5580,30,"23.37","22.64",23.005,NA,"2023","1",208
"FASY_01",2023-06-14 16:32:00,2023-06-14 16:02:00,5400,30,"29.01","29.43",29.22,NA,"2023","1",298
"FASY_01",2023-06-14 18:02:00,2023-06-14 17:32:00,5400,30,"35.19","32.33",33.76,NA,"2023","1",388
"FASY_01",2023-06-14 21:32:00,2023-06-14 21:02:00,12600,30,"38.3","41.7",40,NA,"2023","1",598
"FASY_01",2023-06-15 08:14:00,2023-06-15 07:44:00,38520,30,"55.7",NA,55.7,NA,"2023","1",1240
"FASY_02",2023-06-14 11:11:00,2023-06-14 10:41:00,NA,30,"0.53",NA,0.53,NA,"2023","1",0
"FASY_02",2023-06-14 11:49:00,2023-06-14 11:19:00,2280,30,"3.67","4.49",4.08,NA,"2023","1",38
"FASY_02",2023-06-14 13:25:00,2023-06-14 12:55:00,5760,30,"16.56","19.34",17.95,NA,"2023","1",134
"FASY_02",2023-06-14 14:58:00,2023-06-14 14:28:00,5580,30,"25.39","26.83",26.11,NA,"2023","1",227
"FASY_02",2023-06-14 16:28:00,2023-06-14 15:58:00,5400,30,"31.89","30.92",31.405,NA,"2023","1",317
"FASY_02",2023-06-14 17:58:00,2023-06-14 17:28:00,5400,30,"35.51","33.38",34.445,NA,"2023","1",407
"FASY_02",2023-06-14 21:32:00,2023-06-14 21:02:00,12840,30,"36.8","37.1",36.95,NA,"2023","1",621
"FASY_02",2023-06-15 08:10:00,2023-06-15 07:40:00,38280,30,"58.43",NA,58.43,NA,"2023","1",1259
"FASY_03",2023-06-14 11:20:00,2023-06-14 10:50:00,NA,30,"0.25",NA,0.25,NA,"2023","1",0
"FASY_03",2023-06-14 11:51:00,2023-06-14 11:21:00,1860,30,"1.87","1.17",1.52,NA,"2023","1",31
"FASY_03",2023-06-14 13:27:00,2023-06-14 12:57:00,5760,30,"16.52","15.92",16.22,NA,"2023","1",127
"FASY_03",2023-06-14 15:00:00,2023-06-14 14:30:00,5580,30,"26.24","24.51",25.375,NA,"2023","1",220
"FASY_03",2023-06-14 16:29:00,2023-06-14 15:59:00,5340,30,"33.06","34.05",33.555,NA,"2023","1",309
"FASY_03",2023-06-14 17:59:00,2023-06-14 17:29:00,5400,30,"35.48","47.64",41.56,NA,"2023","1",399
"FASY_03",2023-06-14 21:32:00,2023-06-14 21:02:00,12780,30,"51.4","46.8",49.1,NA,"2023","1",612
