"time","Fe_379","Fe_477","Fe_350","Fe_1","Fe_186"
2022-06-19 22:02:00,3.79,19.044,24.019,29.94,27.769
2022-06-19 22:12:00,3.79,19.066,24.049,29.969,27.784
2022-06-19 22:22:00,3.832,19.071,24.047,30.042,27.787
2022-06-19 22:32:00,3.857,19.071,24.053,30.041,27.791
2022-06-19 22:42:00,3.88,19.071,24.06,30.04,27.822
2022-06-19 22:52:00,3.878,19.073,24.071,30.042,27.833
2022-06-19 23:02:00,3.873,19.072,24.074,30.047,27.833
2022-06-19 23:12:00,3.856,19.106,24.143,30.048,27.836
2022-06-19 23:22:00,3.858,19.143,24.179,30.075,27.839
2022-06-19 23:32:00,3.86,19.155,24.169,30.143,27.838
2022-06-19 23:42:00,3.954,19.158,24.172,30.145,27.84
2022-06-19 23:52:00,3.958,19.157,24.171,30.157,27.85
2022-06-20 00:02:00,3.983,19.193,24.188,30.178,27.968
2022-06-20 00:12:00,4.002,19.193,24.187,30.187,27.97
2022-06-20 00:22:00,4.004,19.195,24.189,30.191,27.972
2022-06-20 00:32:00,4.006,19.195,24.187,30.195,27.974
2022-06-20 00:42:00,4.006,19.194,24.186,30.199,27.972
2022-06-20 00:52:00,4.001,19.195,24.187,30.205,27.967
2022-06-20 01:02:00,4.001,19.2,24.188,30.239,27.971
2022-06-20 01:12:00,4,19.208,24.2,30.235,27.98
2022-06-20 01:22:00,4.014,19.238,24.266,30.239,27.982
2022-06-20 01:32:00,4.021,19.247,24.292,30.288,27.988
2022-06-20 01:42:00,4.128,19.265,24.296,30.327,27.989
2022-06-20 01:52:00,4.111,19.262,24.294,30.338,27.991
2022-06-20 02:02:00,4.186,19.262,24.295,30.339,27.993
2022-06-20 02:12:00,4.167,19.26,24.294,30.35,28
2022-06-20 02:22:00,4.121,19.26,24.298,30.356,28.002
2022-06-20 02:32:00,4.119,19.26,24.305,30.368,28.004
2022-06-20 02:42:00,4.123,19.26,24.305,30.372,28.062
2022-06-20 02:52:00,4.125,19.261,24.309,30.371,28.061
2022-06-20 03:02:00,4.127,19.263,24.31,30.416,28.062
2022-06-20 03:12:00,4.136,19.264,24.312,30.417,28.063
2022-06-20 03:22:00,4.136,19.265,24.315,30.459,28.07
2022-06-20 03:32:00,4.836,19.684,24.782,30.896,28.335
2022-06-20 03:42:00,4.822,19.681,24.799,30.892,28.338
2022-06-20 03:52:00,4.754,19.683,24.793,30.894,28.35
2022-06-20 04:02:00,4.878,19.679,24.794,30.893,28.353
2022-06-20 04:12:00,4.863,19.681,24.791,30.893,28.353
2022-06-20 04:22:00,4.867,19.682,24.792,30.892,28.353
2022-06-20 04:32:00,4.866,19.681,24.793,30.892,28.351
2022-06-20 04:42:00,4.865,19.681,24.793,30.891,28.352
2022-06-20 04:52:00,4.87,19.682,24.791,30.891,28.356
2022-06-20 05:02:00,4.869,19.684,24.788,30.887,28.358
2022-06-20 05:12:00,4.869,19.686,24.791,30.887,28.354
2022-06-20 05:22:00,4.867,19.69,24.787,30.889,28.358
2022-06-20 05:32:00,4.871,19.69,24.787,30.889,28.36
2022-06-20 05:42:00,4.871,19.69,24.791,30.89,28.366
2022-06-20 05:52:00,4.871,19.693,24.793,30.891,28.37
2022-06-20 06:02:00,4.873,19.692,24.796,30.891,28.376
2022-06-20 06:12:00,4.87,19.705,24.796,30.904,28.405
2022-06-20 06:22:00,4.86,19.721,24.797,30.919,28.438
2022-06-20 06:32:00,4.848,19.729,24.798,30.922,28.443
2022-06-20 06:42:00,4.85,19.726,24.797,30.917,28.449
2022-06-20 06:52:00,4.853,19.747,24.799,30.922,28.459
2022-06-20 07:02:00,4.864,19.753,24.8,30.926,28.461
2022-06-20 07:12:00,4.867,19.758,24.798,30.926,28.462
2022-06-20 07:22:00,4.871,19.758,24.799,30.927,28.466
2022-06-20 07:32:00,4.871,19.762,24.802,30.938,28.467
2022-06-20 07:42:00,4.871,19.773,24.805,30.957,28.466
2022-06-20 07:52:00,4.871,19.768,24.805,30.972,28.465
2022-06-20 08:02:00,4.873,19.787,24.804,30.977,28.473
2022-06-20 08:12:00,4.871,19.794,24.804,30.974,28.486
2022-06-20 08:22:00,4.873,19.807,24.809,30.991,28.482
2022-06-20 08:32:00,4.875,19.814,24.809,30.996,28.485
2022-06-20 08:42:00,4.92,19.869,24.81,30.999,28.491
2022-06-20 08:52:00,4.959,19.878,24.816,31.055,28.498
2022-06-20 09:02:00,4.957,19.885,24.82,31.068,28.508
2022-06-20 09:12:00,4.966,19.893,24.826,31.079,28.512
2022-06-20 09:22:00,4.97,19.923,24.84,31.077,28.52
2022-06-20 09:32:00,4.965,19.951,24.855,31.124,28.522
2022-06-20 09:42:00,4.963,19.957,24.856,31.148,28.554
2022-06-20 09:52:00,4.986,19.969,24.867,31.19,28.566
2022-06-20 10:02:00,4.96,19.974,24.867,31.191,28.567
2022-06-20 10:12:00,4.981,19.982,24.871,31.195,28.571
2022-06-20 10:22:00,4.976,19.984,24.885,31.202,28.57
2022-06-20 10:32:00,4.978,19.986,24.886,31.202,28.572
2022-06-20 10:42:00,4.964,19.99,24.893,31.202,28.579
2022-06-20 10:52:00,4.973,19.994,24.893,31.212,28.58
2022-06-20 11:02:00,5.041,20.015,24.917,31.235,28.645
2022-06-20 11:12:00,5.219,20.039,24.987,31.362,28.667
2022-06-20 11:22:00,5.21,20.036,25.001,31.364,28.671
2022-06-20 11:32:00,5.207,20.036,25.003,31.361,28.674
2022-06-20 11:42:00,5.206,20.036,25.002,31.36,28.673
2022-06-20 11:52:00,5.195,20.035,25.002,31.364,28.681
2022-06-20 12:02:00,5.194,20.036,25,31.363,28.691
2022-06-20 12:12:00,5.204,20.046,25.009,31.371,28.718
2022-06-20 12:22:00,5.208,20.074,25.02,31.381,28.729
2022-06-20 12:32:00,5.213,20.074,25.024,31.38,28.73
2022-06-20 12:42:00,5.211,20.075,25.025,31.382,28.736
2022-06-20 12:52:00,5.205,20.075,25.025,31.384,28.746
2022-06-20 13:02:00,5.213,20.078,25.028,31.383,28.749
2022-06-20 13:12:00,5.213,20.075,25.028,31.383,28.753
2022-06-20 13:22:00,5.215,20.078,25.026,31.384,28.753
2022-06-20 13:32:00,5.213,20.076,25.026,31.384,28.756
2022-06-20 13:42:00,5.208,20.077,25.027,31.385,28.758
2022-06-20 13:52:00,5.215,20.079,25.027,31.384,28.757
2022-06-20 14:02:00,5.211,20.078,25.025,31.384,28.757
2022-06-20 14:12:00,5.213,20.078,25.025,31.383,28.755
2022-06-20 14:22:00,5.211,20.077,25.026,31.384,28.758
2022-06-20 14:32:00,5.211,20.079,25.025,31.386,28.756
2022-06-20 14:42:00,5.214,20.08,25.026,31.384,28.763
2022-06-20 14:52:00,5.214,20.079,25.024,31.386,28.763
2022-06-20 15:02:00,5.202,20.08,25.025,31.385,28.763
2022-06-20 15:12:00,5.214,20.081,25.022,31.384,28.762
2022-06-20 15:22:00,5.21,20.08,25.023,31.383,28.763
2022-06-20 15:32:00,5.207,20.081,25.022,31.383,28.763
2022-06-20 15:42:00,5.208,20.08,25.021,31.383,28.764
2022-06-20 15:52:00,5.198,20.08,25.019,31.384,28.762
2022-06-20 16:02:00,5.192,20.08,25.02,31.383,28.761
2022-06-20 16:12:00,5.199,20.081,25.022,31.384,28.762
2022-06-20 16:22:00,5.183,20.081,25.02,31.382,28.762
2022-06-20 16:32:00,5.199,20.081,25.02,31.382,28.761
2022-06-20 16:42:00,5.185,20.08,25.021,31.382,28.763
2022-06-20 16:52:00,5.202,20.081,25.02,31.385,28.761
2022-06-20 17:02:00,5.202,20.08,25.019,31.384,28.762
2022-06-20 17:12:00,5.204,20.08,25.021,31.384,28.762
2022-06-20 17:22:00,5.202,20.08,25.018,31.384,28.762
2022-06-20 17:32:00,5.202,20.08,25.022,31.383,28.763
2022-06-20 17:42:00,5.202,20.08,25.022,31.383,28.763
2022-06-20 17:52:00,5.202,20.081,25.021,31.383,28.763
2022-06-20 18:02:00,5.204,20.081,25.02,31.383,28.763
2022-06-20 18:12:00,5.204,20.081,25.02,31.384,28.763
2022-06-20 18:22:00,5.206,20.079,25.021,31.384,28.763
2022-06-20 18:32:00,5.206,20.081,25.021,31.383,28.763
2022-06-20 18:42:00,5.206,20.078,25.02,31.383,28.765
2022-06-20 18:52:00,5.208,20.08,25.02,31.383,28.765
2022-06-20 19:02:00,5.206,20.08,25.022,31.383,28.764
2022-06-20 19:12:00,5.208,20.08,25.023,31.384,28.764
2022-06-20 19:22:00,5.203,20.079,25.023,31.384,28.765
2022-06-20 19:32:00,5.203,20.079,25.022,31.385,28.765
2022-06-20 19:42:00,5.205,20.081,25.025,31.385,28.767
2022-06-20 19:52:00,5.208,20.089,25.024,31.386,28.767
2022-06-20 20:02:00,5.201,20.101,25.024,31.386,28.767
2022-06-20 20:12:00,5.198,20.105,25.024,31.385,28.767
2022-06-20 20:22:00,5.186,20.108,25.024,31.392,28.77
2022-06-20 20:32:00,5.189,20.109,25.025,31.39,28.766
2022-06-20 20:42:00,5.191,20.107,25.024,31.392,28.767
2022-06-20 20:52:00,5.191,20.108,25.027,31.391,28.765
2022-06-20 21:02:00,5.189,20.108,25.024,31.392,28.766
2022-06-20 21:12:00,5.187,20.112,25.025,31.393,28.766
2022-06-20 21:22:00,5.189,20.11,25.038,31.392,28.766
2022-06-20 21:32:00,5.194,20.108,25.039,31.39,28.757
2022-06-20 21:42:00,5.208,20.111,25.042,31.391,28.757
2022-06-20 21:52:00,5.21,20.112,25.042,31.392,28.76
2022-06-20 22:02:00,5.211,20.113,25.044,31.392,28.759
2022-06-20 22:12:00,5.211,20.111,25.041,31.392,28.757
2022-06-20 22:22:00,5.211,20.111,25.043,31.389,28.758
2022-06-20 22:32:00,5.211,20.111,25.043,31.389,28.758
2022-06-20 22:42:00,5.211,20.11,25.043,31.389,28.756
