"time","Fs_542","Fs_544","Fs_560","Fs_389","Fs_483","Fs_481","Fs_18","Fs_405","Fs_51","Fs_2","Fs_475","Fs_357","Fs_7","Fs_130","Fs_208"
2022-06-19 22:06:00,21.624,29.674,7.052,26.227,22.576,20.488,20.112,22.56,16.24,13.011,24.896,21.091,20.632,24.162,20.707
2022-06-19 22:16:00,21.624,29.674,7.052,26.227,22.576,20.488,20.112,22.56,16.24,13.011,24.896,21.14,20.63,24.162,20.709
2022-06-19 22:26:00,21.624,29.674,7.052,26.227,22.577,20.521,20.121,22.595,16.239,13.018,24.909,21.139,20.634,24.165,20.713
2022-06-19 22:36:00,21.623,29.674,7.054,26.227,22.584,20.523,20.124,22.601,16.234,13.02,24.919,21.138,20.646,24.166,20.713
2022-06-19 22:46:00,21.618,29.669,7.058,26.23,22.588,20.522,20.126,22.603,16.234,13.019,24.92,21.14,20.668,24.168,20.73
2022-06-19 22:56:00,21.622,29.67,7.06,26.232,22.598,20.522,20.131,22.606,16.233,13.022,24.922,21.141,20.665,24.169,20.747
2022-06-19 23:06:00,21.621,29.695,7.059,26.234,22.601,20.522,20.138,22.608,16.235,13.021,24.919,21.141,20.656,24.166,20.748
2022-06-19 23:16:00,21.62,29.736,7.063,26.236,22.603,20.524,20.136,22.606,16.236,13.022,24.921,21.146,20.652,24.187,20.756
2022-06-19 23:26:00,21.62,29.737,7.064,26.24,22.615,20.533,20.137,22.65,16.234,13.021,24.921,21.147,20.648,24.187,20.746
2022-06-19 23:36:00,21.656,29.741,7.063,26.241,22.622,20.538,20.139,22.648,16.237,13.022,24.92,21.149,20.64,24.207,20.737
2022-06-19 23:46:00,21.656,29.758,7.103,26.243,22.622,20.545,20.147,22.656,16.26,13.021,24.939,21.148,20.631,24.206,20.737
2022-06-19 23:56:00,21.658,29.771,7.105,26.287,22.623,20.555,20.157,22.674,16.261,13.02,24.94,21.149,20.613,24.21,20.737
2022-06-20 00:06:00,21.66,29.804,7.104,26.289,22.621,20.568,20.157,22.677,16.261,13.033,24.94,21.162,20.643,24.213,20.741
2022-06-20 00:16:00,21.683,29.802,7.104,26.29,22.624,20.609,20.16,22.668,16.264,13.033,24.938,21.163,20.643,24.214,20.742
2022-06-20 00:26:00,21.684,29.801,7.105,26.293,22.623,20.608,20.16,22.669,16.262,13.035,24.941,21.162,20.64,24.218,20.74
2022-06-20 00:36:00,21.683,29.799,7.105,26.295,22.622,20.609,20.162,22.668,16.266,13.041,24.943,21.165,20.642,24.221,20.743
2022-06-20 00:46:00,21.691,29.799,7.104,26.297,22.622,20.609,20.158,22.669,16.267,13.04,24.942,21.165,20.643,24.226,20.736
2022-06-20 00:56:00,21.692,29.799,7.106,26.298,22.621,20.608,20.162,22.671,16.279,13.039,24.944,21.166,20.644,24.229,20.734
2022-06-20 01:06:00,21.689,29.802,7.108,26.301,22.624,20.609,20.16,22.674,16.281,13.05,24.967,21.173,20.626,24.246,20.746
2022-06-20 01:16:00,21.685,29.867,7.103,26.306,22.628,20.608,20.161,22.683,16.28,13.053,24.976,21.177,20.63,24.268,20.744
2022-06-20 01:26:00,21.682,29.859,7.102,26.314,22.627,20.607,20.162,22.721,16.284,13.057,25.009,21.208,20.642,24.276,20.754
2022-06-20 01:36:00,21.677,29.845,7.109,26.343,22.629,20.609,20.167,22.719,16.289,13.058,25.013,21.275,20.67,24.307,20.756
2022-06-20 01:46:00,21.688,29.849,7.089,26.357,22.632,20.608,20.172,22.749,16.335,13.061,25.051,21.28,20.675,24.324,20.76
2022-06-20 01:56:00,21.692,29.89,7.091,26.38,22.633,20.608,20.172,22.774,16.339,13.066,25.052,21.281,20.68,24.325,20.759
2022-06-20 02:06:00,21.692,29.89,7.091,26.38,22.633,20.608,20.173,22.774,16.341,13.064,25.053,21.284,20.68,24.327,20.762
2022-06-20 02:16:00,21.694,29.924,7.094,26.379,22.635,20.609,20.173,22.773,16.341,13.067,25.055,21.288,20.678,24.339,20.783
2022-06-20 02:26:00,21.694,29.972,7.093,26.38,22.635,20.611,20.172,22.773,16.338,13.065,25.061,21.288,20.684,24.339,20.793
