"time","Ap_618","Ap_39","Ap_540","Ap_116"
2022-06-19 22:06:00,23.271,22.158,23.947,15.504
2022-06-19 22:16:00,23.308,22.156,23.949,15.507
2022-06-19 22:26:00,23.312,22.157,23.95,15.507
2022-06-19 22:36:00,23.311,22.157,23.948,15.508
2022-06-19 22:46:00,23.299,22.18,23.96,15.508
2022-06-19 22:56:00,23.299,22.189,23.964,15.511
2022-06-19 23:06:00,23.304,22.182,23.972,15.507
2022-06-19 23:16:00,23.308,22.18,24.019,15.507
2022-06-19 23:26:00,23.306,22.181,24.036,15.51
2022-06-19 23:36:00,23.327,22.181,24.038,15.506
2022-06-19 23:46:00,23.332,22.183,24.039,15.507
2022-06-19 23:56:00,23.344,22.184,24.042,15.504
2022-06-20 00:06:00,23.351,22.196,24.086,15.505
2022-06-20 00:16:00,23.353,22.195,24.085,15.506
2022-06-20 00:26:00,23.353,22.197,24.088,15.512
2022-06-20 00:36:00,23.363,22.199,24.087,15.51
2022-06-20 00:46:00,23.37,22.2,24.088,15.511
2022-06-20 00:56:00,23.371,22.206,24.092,15.52
2022-06-20 01:06:00,23.381,22.205,24.092,15.528
2022-06-20 01:16:00,23.383,22.21,24.091,15.544
2022-06-20 01:26:00,23.386,22.21,24.093,15.547
2022-06-20 01:36:00,23.418,22.222,24.1,15.547
2022-06-20 01:46:00,23.419,22.228,24.102,15.56
2022-06-20 01:56:00,23.421,22.23,24.102,15.56
2022-06-20 02:06:00,23.42,22.24,24.106,15.558
2022-06-20 02:16:00,23.422,22.254,24.119,15.556
2022-06-20 02:26:00,23.428,22.256,24.118,15.557
2022-06-20 02:36:00,23.438,22.256,24.116,15.555
2022-06-20 02:46:00,23.44,22.255,24.116,15.554
2022-06-20 02:56:00,23.443,22.255,24.116,15.552
2022-06-20 03:06:00,23.443,22.254,24.109,15.552
2022-06-20 03:16:00,23.453,22.252,24.109,15.556
2022-06-20 03:26:00,23.554,22.264,24.217,15.581
2022-06-20 03:36:00,23.735,22.325,24.351,15.748
2022-06-20 03:46:00,23.735,22.326,24.354,15.745
2022-06-20 03:56:00,23.739,22.327,24.355,15.748
2022-06-20 04:06:00,23.74,22.327,24.353,15.748
2022-06-20 04:16:00,23.741,22.327,24.354,15.749
2022-06-20 04:26:00,23.743,22.326,24.352,15.747
2022-06-20 04:36:00,23.743,22.329,24.353,15.75
2022-06-20 04:46:00,23.749,22.327,24.358,15.748
2022-06-20 04:56:00,23.757,22.328,24.361,15.747
2022-06-20 05:06:00,23.765,22.331,24.368,15.751
2022-06-20 05:16:00,23.768,22.331,24.367,15.753
2022-06-20 05:26:00,23.769,22.334,24.37,15.752
2022-06-20 05:36:00,23.777,22.341,24.38,15.751
2022-06-20 05:46:00,23.782,22.34,24.384,15.753
2022-06-20 05:56:00,23.783,22.341,24.389,15.752
2022-06-20 06:06:00,23.792,22.346,24.388,15.751
2022-06-20 06:16:00,23.82,22.349,24.387,15.753
2022-06-20 06:26:00,23.83,22.351,24.389,15.758
2022-06-20 06:36:00,23.85,22.35,24.389,15.762
2022-06-20 06:46:00,23.856,22.355,24.392,15.763
2022-06-20 06:56:00,23.859,22.358,24.39,15.763
2022-06-20 07:06:00,23.859,22.364,24.391,15.772
2022-06-20 07:16:00,23.862,22.371,24.395,15.771
2022-06-20 07:26:00,23.861,22.373,24.397,15.769
2022-06-20 07:36:00,23.861,22.373,24.398,15.768
2022-06-20 07:46:00,23.866,22.378,24.4,15.77
2022-06-20 07:56:00,23.87,22.382,24.403,15.771
2022-06-20 08:06:00,23.875,22.391,24.41,15.776
2022-06-20 08:16:00,23.88,22.396,24.416,15.778
2022-06-20 08:26:00,23.89,22.402,24.417,15.786
2022-06-20 08:36:00,23.899,22.413,24.423,15.811
2022-06-20 08:46:00,23.909,22.417,24.423,15.851
2022-06-20 08:56:00,23.922,22.457,24.434,15.871
2022-06-20 09:06:00,23.935,22.456,24.436,15.872
2022-06-20 09:16:00,23.94,22.453,24.437,15.872
2022-06-20 09:26:00,23.945,22.452,24.436,15.876
2022-06-20 09:36:00,23.949,22.454,24.428,15.875
2022-06-20 09:46:00,23.95,22.508,24.419,15.879
2022-06-20 09:56:00,23.951,22.508,24.418,15.879
2022-06-20 10:06:00,23.953,22.512,24.417,15.879
2022-06-20 10:16:00,23.954,22.513,24.418,15.88
2022-06-20 10:26:00,23.956,22.513,24.417,15.88
2022-06-20 10:36:00,23.957,22.516,24.421,15.879
2022-06-20 10:46:00,23.959,22.516,24.423,15.881
2022-06-20 10:56:00,23.963,22.517,24.427,15.88
2022-06-20 11:06:00,23.999,22.521,24.468,15.908
2022-06-20 11:16:00,24.057,22.52,24.479,15.903
2022-06-20 11:26:00,24.062,22.52,24.478,15.903
2022-06-20 11:36:00,24.066,22.521,24.479,15.904
2022-06-20 11:46:00,24.065,22.52,24.478,15.903
2022-06-20 11:56:00,24.071,22.519,24.477,15.902
2022-06-20 12:06:00,24.077,22.52,24.478,15.906
2022-06-20 12:16:00,24.081,22.523,24.481,15.903
2022-06-20 12:26:00,24.082,22.522,24.485,15.905
2022-06-20 12:36:00,24.083,22.523,24.484,15.904
2022-06-20 12:46:00,24.083,22.524,24.485,15.903
2022-06-20 12:56:00,24.085,22.526,24.483,15.906
2022-06-20 13:06:00,24.085,22.526,24.483,15.906
2022-06-20 13:16:00,24.085,22.526,24.483,15.903
2022-06-20 13:26:00,24.085,22.529,24.483,15.906
2022-06-20 13:36:00,24.084,22.527,24.481,15.906
2022-06-20 13:46:00,24.086,22.529,24.481,15.904
2022-06-20 13:56:00,24.087,22.53,24.482,15.904
2022-06-20 14:06:00,24.085,22.529,24.482,15.903
2022-06-20 14:16:00,24.085,22.531,24.483,15.901
2022-06-20 14:26:00,24.086,22.532,24.483,15.898
2022-06-20 14:36:00,24.087,22.535,24.482,15.897
2022-06-20 14:56:00,24.086,22.536,24.483,15.895
2022-06-20 15:06:00,24.087,22.535,24.484,15.896
2022-06-20 15:16:00,24.085,22.534,24.482,15.897
2022-06-20 15:26:00,24.085,22.535,24.483,15.899
2022-06-20 15:36:00,24.085,22.535,24.484,15.897
2022-06-20 15:46:00,24.085,22.532,24.482,15.895
2022-06-20 15:56:00,24.084,22.533,24.483,15.894
2022-06-20 16:06:00,24.085,22.532,24.484,15.892
2022-06-20 16:16:00,24.086,22.53,24.483,15.893
2022-06-20 16:26:00,24.085,22.532,24.483,15.893
2022-06-20 16:36:00,24.085,22.53,24.483,15.893
2022-06-20 16:46:00,24.085,22.53,24.483,15.893
2022-06-20 16:56:00,24.086,22.532,24.484,15.893
2022-06-20 17:06:00,24.084,22.532,24.484,15.894
2022-06-20 17:16:00,24.086,22.531,24.484,15.894
2022-06-20 17:26:00,24.086,22.531,24.484,15.892
2022-06-20 17:36:00,24.086,22.532,24.486,15.89
2022-06-20 17:46:00,24.086,22.534,24.486,15.894
2022-06-20 17:56:00,24.086,22.53,24.483,15.894
2022-06-20 18:06:00,24.085,22.53,24.483,15.894
2022-06-20 18:16:00,24.086,22.532,24.483,15.894
2022-06-20 18:26:00,24.085,22.529,24.485,15.893
2022-06-20 18:36:00,24.087,22.527,24.482,15.893
2022-06-20 18:46:00,24.084,22.529,24.482,15.893
2022-06-20 18:56:00,24.086,22.528,24.484,15.893
2022-06-20 19:06:00,24.086,22.529,24.484,15.895
2022-06-20 19:16:00,24.087,22.529,24.485,15.893
2022-06-20 19:26:00,24.087,22.529,24.483,15.894
2022-06-20 19:36:00,24.087,22.529,24.483,15.894
2022-06-20 19:46:00,24.086,22.53,24.484,15.896
2022-06-20 19:56:00,24.086,22.528,24.484,15.896
2022-06-20 20:06:00,24.086,22.528,24.484,15.896
2022-06-20 20:16:00,24.089,22.525,24.483,15.894
2022-06-20 20:26:00,24.089,22.526,24.484,15.897
2022-06-20 20:36:00,24.091,22.527,24.486,15.895
2022-06-20 20:46:00,24.09,22.529,24.485,15.897
2022-06-20 20:56:00,24.09,22.53,24.487,15.897
2022-06-20 21:06:00,24.091,22.526,24.486,15.896
2022-06-20 21:16:00,24.092,22.527,24.487,15.898
2022-06-20 21:26:00,24.093,22.526,24.487,15.902
2022-06-20 21:36:00,24.096,22.526,24.488,15.902
2022-06-20 21:46:00,24.094,22.526,24.486,15.901
2022-06-20 21:56:00,24.095,22.527,24.487,15.902
2022-06-20 22:06:00,24.096,22.527,24.487,15.902
2022-06-20 22:16:00,24.095,22.527,24.485,15.901
2022-06-20 22:26:00,24.096,22.527,24.488,15.899
2022-06-20 22:36:00,24.096,22.527,24.488,15.903
2022-06-20 22:46:00,24.095,22.527,24.486,15.901
2022-06-20 22:56:00,24.095,22.527,24.488,15.901
2022-06-20 23:06:00,24.095,22.527,24.489,15.901
2022-06-20 23:16:00,24.093,22.526,24.488,15.902
2022-06-20 23:26:00,24.094,22.524,24.488,15.902
2022-06-20 23:36:00,24.094,22.524,24.49,15.901
2022-06-20 23:46:00,24.096,22.524,24.488,15.902
2022-06-20 23:56:00,24.097,22.526,24.49,15.9
2022-06-21 00:06:00,24.098,22.527,24.492,15.903
2022-06-21 00:16:00,24.1,22.527,24.494,15.903
2022-06-21 00:26:00,24.099,22.529,24.496,15.902
2022-06-21 00:36:00,24.101,22.529,24.496,15.902
2022-06-21 00:46:00,24.101,22.528,24.495,15.903
2022-06-21 00:56:00,24.1,22.529,24.497,15.901
2022-06-21 01:06:00,24.101,22.522,24.497,15.901
2022-06-21 01:16:00,24.103,22.526,24.497,15.903
2022-06-21 01:26:00,24.103,22.522,24.501,15.902
2022-06-21 01:36:00,24.103,22.521,24.499,15.902
2022-06-21 01:46:00,24.104,22.52,24.5,15.904
2022-06-21 01:56:00,24.105,22.52,24.503,15.903
2022-06-21 02:06:00,24.107,22.521,24.502,15.905
2022-06-21 02:16:00,24.108,22.52,24.503,15.905
2022-06-21 02:26:00,24.108,22.519,24.507,15.905
2022-06-21 02:36:00,24.107,22.518,24.506,15.906
2022-06-21 02:46:00,24.109,22.511,24.513,15.906
2022-06-21 02:56:00,24.109,22.511,24.515,15.906
2022-06-21 03:06:00,24.11,22.505,24.522,15.907
2022-06-21 03:16:00,24.112,22.504,24.523,15.907
2022-06-21 03:26:00,24.113,22.501,24.52,15.908
2022-06-21 03:36:00,24.117,22.5,24.519,15.907
2022-06-21 03:46:00,24.119,22.501,24.52,15.909
2022-06-21 03:56:00,24.123,22.503,24.519,15.908
2022-06-21 04:06:00,24.122,22.504,24.522,15.907
2022-06-21 04:16:00,24.121,22.503,24.52,15.907
2022-06-21 04:26:00,24.121,22.503,24.524,15.907
2022-06-21 04:36:00,24.121,22.505,24.524,15.909
2022-06-21 04:46:00,24.121,22.505,24.524,15.911
2022-06-21 04:56:00,24.124,22.505,24.522,15.91
2022-06-21 05:06:00,24.124,22.508,24.522,15.91
2022-06-21 05:16:00,24.122,22.506,24.525,15.91
2022-06-21 05:26:00,24.122,22.506,24.523,15.91
2022-06-21 05:36:00,24.122,22.506,24.523,15.908
2022-06-21 05:46:00,24.122,22.506,24.526,15.91
2022-06-21 05:56:00,24.121,22.505,24.526,15.91
2022-06-21 06:06:00,24.121,22.505,24.524,15.909
2022-06-21 06:16:00,24.122,22.506,24.525,15.91
2022-06-21 06:26:00,24.12,22.504,24.524,15.91
2022-06-21 06:36:00,24.119,22.503,24.524,15.909
2022-06-21 06:46:00,24.117,22.501,24.525,15.911
2022-06-21 06:56:00,24.116,22.501,24.527,15.91
2022-06-21 07:06:00,24.117,22.502,24.524,15.913
2022-06-21 07:16:00,24.114,22.501,24.526,15.91
2022-06-21 07:26:00,24.114,22.501,24.524,15.91
2022-06-21 07:36:00,24.112,22.499,24.524,15.909
2022-06-21 07:46:00,24.11,22.5,24.524,15.907
2022-06-21 07:56:00,24.109,22.5,24.523,15.907
2022-06-21 08:06:00,24.111,22.503,24.521,15.905
2022-06-21 08:16:00,24.108,22.505,24.522,15.903
2022-06-21 08:26:00,24.109,22.508,24.52,15.901
2022-06-21 08:36:00,24.108,22.514,24.521,15.899
2022-06-21 08:46:00,24.107,22.517,24.52,15.897
2022-06-21 08:56:00,24.106,22.521,24.519,15.895
2022-06-21 09:06:00,24.107,22.522,24.52,15.895
2022-06-21 09:16:00,24.104,22.52,24.519,15.892
2022-06-21 09:26:00,24.104,22.521,24.519,15.892
2022-06-21 09:36:00,24.104,22.52,24.521,15.891
2022-06-21 09:46:00,24.105,22.52,24.518,15.891
2022-06-21 09:56:00,24.106,22.52,24.518,15.89
2022-06-21 10:06:00,24.103,22.52,24.515,15.891
2022-06-21 10:16:00,24.104,22.518,24.515,15.89
2022-06-21 10:26:00,24.103,22.521,24.518,15.887
2022-06-21 10:36:00,24.102,22.522,24.515,15.889
2022-06-21 10:46:00,24.102,22.524,24.511,15.889
2022-06-21 10:56:00,24.103,22.521,24.512,15.886
