SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,species,tree_number,wb_temp,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,10:28:04,2024-05-30,darkfl_hainich,rebeccatest,,fasy,001,025,0.025396,2.915591,0.025177,0.225741,1.482654,1.478459,2.349273,0.866619,14.999268,15.041831,23.833853,0.298530,1.800000,PSF-01225_20240530102804_e26,102.047325,536.426453,0.809765,0.000000,0.000000,0.000000,0.5,0.80,0.169800,1.000000,60.76,60.58,20.63,20.02,20.02,98.57,155.9,145.1,7.0,1,4.118,10:26:23,2024-05-30,0.43,1,0.002,0.001,-0.004,0.237,0.191,0.287,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.453046,2.438700,1.659981,0.916640,0.324811,-0.005629,0.058178,0.107622,102.047325,0.000210,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240530102804_e26,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
2,10:30:14,2024-05-30,darkfl_hainich,rebeccatest,see comment,fasy,002,025,0.031031,2.912361,0.030704,0.301154,1.556551,1.550943,2.503567,0.947016,15.732601,15.789485,25.395910,0.298530,1.800000,PSF-01225_20240530103014_990,129.397629,638.496643,0.797340,0.000000,0.000000,0.000000,0.5,0.80,0.185599,1.000000,62.85,62.62,20.87,21.05,21.05,98.58,155.6,128.7,17.3,1,4.108,10:26:23,2024-05-30,0.43,1,-0.002,-0.000,-0.002,0.045,0.172,0.467,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.455459,2.441201,1.656622,0.875919,0.321700,0.003298,0.075469,0.107663,129.397629,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240530103014_990,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
3,10:35:13,2024-05-30,darkfl_hainich,rebeccatest,,fasy,003,025,0.008699,2.914903,0.008674,0.077171,1.681488,1.680055,2.539892,0.858405,17.040743,17.055271,25.762039,0.298530,1.800000,PSF-01225_20240530103513_82f,123.516083,585.669617,0.789103,0.000000,0.000000,0.000000,0.5,0.80,0.202694,1.000000,64.51,64.45,21.71,21.28,21.28,98.59,155.9,130.1,16.5,1,4.105,10:26:23,2024-05-30,0.43,1,0.001,0.001,-0.001,0.248,0.065,0.373,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.457539,2.443088,1.659263,0.879390,0.311116,-0.003572,0.113294,0.107706,123.516083,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240530103513_82f,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
4,10:37:14,2024-05-30,darkfl_hainich,rebeccatest,,fasy,004,025,0.000460,2.914773,0.000460,0.003860,1.734375,1.734304,2.543479,0.809103,17.590136,17.590862,25.797174,0.298530,1.800000,PSF-01225_20240530103714_15a,128.085495,593.832153,0.784307,0.000000,0.000000,0.000000,0.5,0.80,0.205273,1.000000,65.18,65.17,22.05,21.31,21.31,98.60,155.8,138.8,10.9,1,4.102,10:26:23,2024-05-30,0.43,1,0.000,-0.000,0.000,0.273,0.203,0.006,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.458355,2.443846,1.659127,0.900857,0.306918,-0.007199,0.127753,0.107714,128.085495,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240530103714_15a,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
5,10:38:58,2024-05-30,darkfl_hainich,rebeccatest,,frex,005,025,0.061541,2.915582,0.060269,0.531564,1.760679,1.750826,2.610963,0.850284,17.758343,17.858284,26.482571,0.298530,1.800000,PSF-01225_20240530103858_2d3,116.234062,498.304718,0.766741,0.000000,0.000000,0.000000,0.5,0.80,0.185617,1.000000,64.94,64.57,22.35,21.74,21.74,98.59,155.9,132.7,14.9,1,4.099,10:37:51,2024-05-30,0.45,1,-0.000,0.000,0.005,0.245,0.166,0.229,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.457596,2.443495,1.659972,0.885798,0.303160,-0.005868,0.139767,0.107680,116.234062,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240530103858_2d3,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
6,10:40:19,2024-05-30,darkfl_hainich,rebeccatest,,frex,006,025,0.030768,2.914159,0.030446,0.352114,1.818991,1.812461,2.931750,1.112759,18.383450,18.449684,29.736183,0.298530,1.800000,PSF-01225_20240530104019_97f,111.892822,535.405029,0.791013,0.000000,0.000000,0.000000,0.5,0.80,0.207669,1.000000,66.24,66.00,22.56,23.65,23.65,98.59,155.8,130.0,16.6,1,4.097,10:37:51,2024-05-30,0.45,1,-0.003,-0.001,-0.008,0.616,0.501,0.479,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.459280,2.445043,1.658489,0.879112,0.300630,0.013736,0.148901,0.107716,111.892822,0.000215,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240530104019_97f,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
7,10:41:07,2024-05-30,darkfl_hainich,rebeccatest,,frex,007,025,0.207397,2.915080,0.193622,1.502737,1.849011,1.821167,2.597018,0.748007,18.470114,18.752501,26.338720,0.298530,1.800000,PSF-01225_20240530104107_867,114.730598,462.859863,0.752127,0.000000,0.000000,0.000000,0.5,0.80,0.176902,1.000000,66.80,65.79,22.69,21.65,21.65,98.60,155.9,145.5,6.6,1,4.095,10:37:51,2024-05-30,0.45,1,0.002,-0.000,0.000,-0.008,0.135,0.219,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.459012,2.445700,1.659448,0.917803,0.299053,-0.010791,0.154251,0.107667,114.730598,0.000214,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240530104107_867,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
8,10:41:56,2024-05-30,darkfl_hainich,rebeccatest,,frex,008,025,0.007809,2.914398,0.007788,0.067118,1.832719,1.831475,2.663048,0.830328,18.575127,18.587748,27.009075,0.298530,1.800000,PSF-01225_20240530104156_27c,138.169174,673.118591,0.794733,0.000000,0.000000,0.000000,0.5,0.80,0.181452,1.000000,65.73,65.68,22.82,22.06,22.06,98.60,155.8,150.3,3.5,1,4.094,10:37:51,2024-05-30,0.45,1,0.000,0.001,-0.002,0.232,0.099,0.170,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.458862,2.444385,1.658737,0.930060,0.297605,-0.007501,0.159621,0.107655,138.169174,0.000210,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240530104156_27c,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
