flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01225_20240605205313_a41,20:53:13,2024-06-05,PFA-01090,PSA-01092,PSF-01225,85.422989,85.955498,-0.006234,0.000000,0.000000,0.000000,0.691669

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,85.314270,6002.298828
0.010000,85.422989,6002.298828
0.020000,85.313919,6002.298828
0.030000,85.224869,6002.298828
0.040000,85.147980,6002.298828
0.050000,85.067871,6002.298828
0.060000,85.000275,6002.298828
0.070000,84.923744,6002.298828
0.080000,84.867241,6002.298828
0.090000,84.802864,6002.298828
0.100000,84.759949,6002.298828
0.110000,84.707382,6002.298828
0.120000,84.651230,6002.298828
0.130000,84.593292,6002.298828
0.140000,84.544662,6002.298828
0.150000,84.502098,6002.298828
0.160000,84.459183,6002.298828
0.170000,84.416626,6002.298828
0.180000,84.376930,6002.298828
0.190000,84.324356,6002.298828
0.200000,84.287521,6002.298828
0.210000,84.247116,6002.298828
0.220000,84.218506,6002.298828
0.230000,84.180954,6002.298828
0.240000,84.136963,6002.298828
0.250000,84.093330,6002.298828
0.260000,84.052917,6002.298828
0.270000,84.027527,6002.298828
0.280000,83.988548,6002.298828
0.290000,83.962799,6002.298828
0.300000,83.927032,6002.298828
0.310000,83.884476,6002.298828
0.320000,83.847282,6002.298828
0.330000,83.830833,6002.298828
0.340000,83.787560,6002.298828
0.350000,83.765388,6002.298828
0.360000,83.726410,6002.298828
0.370000,83.704948,6002.298828
0.380000,83.655594,6002.298828
0.390000,83.636284,6002.298828
0.400000,83.619476,6002.298828
0.410000,83.572266,6002.298828
0.420000,83.557961,6002.298828
0.430000,83.517548,6002.298828
0.440000,83.487511,6002.298828
0.450000,83.458183,6002.298828
0.460000,83.432076,6002.298828
0.470000,83.408829,6002.298828
0.480000,83.389519,6002.298828
0.490000,83.343033,6002.298828
0.500000,83.329079,6002.298828
0.510000,83.300110,6002.298828
0.520000,83.279732,6002.298828
0.530000,83.237167,6002.298828
0.540000,83.211426,6002.298828
0.550000,83.201050,6002.298828
0.560000,83.167076,6002.298828
0.570000,83.141685,6002.298828
0.580000,83.125595,6002.298828
0.590000,83.096268,6002.298828
0.600000,83.066582,6002.298828
0.610000,83.041908,6002.298828
0.620000,83.016876,6002.298828
0.630000,82.985046,6002.298828
0.640000,82.965729,6002.298828
0.650000,82.950356,6002.298828
0.660000,82.922104,6002.298828
0.670000,82.902786,6002.298828
0.680000,82.874535,6002.298828
0.690000,82.850578,6002.298828
0.700000,82.832336,6002.298828
0.710000,82.808372,6002.298828
0.720000,82.778694,6002.298828
0.730000,82.759384,6002.298828
0.740000,82.735420,6002.298828
0.750000,82.712532,6002.298828
0.760000,82.689644,6002.298828
0.770000,82.670685,6002.298828
0.780000,82.645294,6002.298828
0.790000,82.622055,6002.298828
