flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01225_20240605205617_ba5,20:56:17,2024-06-05,PFA-01090,PSA-01092,PSF-01225,89.281441,90.442657,-0.013006,0.000000,0.000000,0.000000,0.588409

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,89.281441,6002.298828
0.010000,89.013931,6002.298828
0.020000,88.848709,6002.298828
0.030000,88.741066,6002.298828
0.040000,88.657021,6002.298828
0.050000,88.580490,6002.298828
0.060000,88.518974,6002.298828
0.070000,88.448524,6002.298828
0.080000,88.392380,6002.298828
0.090000,88.329788,6002.298828
0.100000,88.276505,6002.298828
0.110000,88.226791,6002.298828
0.120000,88.179588,6002.298828
0.130000,88.129517,6002.298828
0.140000,88.088753,6002.298828
0.150000,88.042618,6002.298828
0.160000,87.992188,6002.298828
0.170000,87.954643,6002.298828
0.180000,87.904213,6002.298828
0.190000,87.869881,6002.298828
0.200000,87.841629,6002.298828
0.210000,87.798355,6002.298828
0.220000,87.744713,6002.298828
0.230000,87.709663,6002.298828
0.240000,87.674622,6002.298828
0.250000,87.640999,6002.298828
0.260000,87.603806,6002.298828
0.270000,87.571976,6002.298828
0.280000,87.530495,6002.298828
0.290000,87.503311,6002.298828
0.300000,87.464691,6002.298828
0.310000,87.430359,6002.298828
0.320000,87.401031,6002.298828
0.330000,87.372063,6002.298828
0.340000,87.330940,6002.298828
0.350000,87.311623,6002.298828
0.360000,87.263702,6002.298828
0.370000,87.237953,6002.298828
0.380000,87.214348,6002.298828
0.390000,87.177513,6002.298828
0.400000,87.153557,6002.298828
0.410000,87.101700,6002.298828
0.420000,87.077377,6002.298828
0.430000,87.050560,6002.298828
0.440000,87.026596,6002.298828
0.450000,86.995483,6002.298828
0.460000,86.968658,6002.298828
0.470000,86.932541,6002.298828
0.480000,86.906433,6002.298828
0.490000,86.876038,6002.298828
0.500000,86.855293,6002.298828
0.510000,86.829903,6002.298828
0.520000,86.796280,6002.298828
0.530000,86.770180,6002.298828
0.540000,86.730484,6002.298828
0.550000,86.709381,6002.298828
0.560000,86.677910,6002.298828
0.570000,86.655739,6002.298828
0.580000,86.624977,6002.298828
0.590000,86.606384,6002.298828
0.600000,86.573837,6002.298828
0.610000,86.545944,6002.298828
0.620000,86.513756,6002.298828
0.630000,86.496948,6002.298828
0.640000,86.470123,6002.298828
0.650000,86.450455,6002.298828
0.660000,86.424347,6002.298828
0.670000,86.384651,6002.298828
0.680000,86.366776,6002.298828
0.690000,86.347107,6002.298828
0.700000,86.314560,6002.298828
0.710000,86.293098,6002.298828
0.720000,86.261276,6002.298828
0.730000,86.243034,6002.298828
0.740000,86.222290,6002.298828
0.750000,86.202621,6002.298828
0.760000,86.169365,6002.298828
0.770000,86.150047,6002.298828
0.780000,86.123589,6002.298828
0.790000,86.098190,6002.298828
