SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,plot_number,tree_number,wb_temp,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,11:05:45,2024-06-09,untrlues_fasy,rebecca,,002,035,025,0.015351,2.917362,0.015271,0.266337,1.042114,1.037124,2.736686,1.694573,10.470711,10.521089,27.629341,0.298530,1.800000,PSF-01225_20240609110545_2c5,220.362427,833.020813,0.735466,0.000000,0.000000,0.000000,0.5,0.80,1.001218,1.000000,36.64,36.46,23.14,22.51,22.51,99.05,156.2,131.9,15.5,3,3.926,11:05:25,2024-06-09,0.03,1,-0.001,0.002,0.005,-1.283,-3.768,-12.337,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.422558,2.408464,1.661833,0.883769,0.293709,-0.006179,0.330273,0.109657,220.362427,0.000216,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240609110545_2c5,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-09T08:42:34.079Z
2,11:07:28,2024-06-09,untrlues_fasy,rebecca,,002,054,025,0.306469,2.916750,0.277329,4.447760,1.122785,1.039477,2.680940,1.558154,10.493757,11.334770,27.064686,0.298530,1.800000,PSF-01225_20240609110728_7c7,136.752960,677.658691,0.798198,0.000000,0.000000,0.000000,0.5,0.80,1.127020,1.000000,39.29,36.38,23.22,22.17,22.17,99.06,156.1,151.5,2.9,4,3.924,11:05:25,2024-06-09,0.03,1,-0.004,-0.003,-0.012,0.120,-0.081,-0.242,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.422440,2.411930,1.661192,0.933031,0.292831,-0.010922,0.339028,0.109746,136.752960,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240609110728_7c7,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-09T08:42:34.079Z
3,11:08:59,2024-06-09,untrlues_fasy,rebecca,,002,056,025,0.052143,2.915217,0.051227,0.893318,1.040023,1.023257,2.734513,1.694490,10.329953,10.499215,27.605379,0.298530,1.800000,PSF-01225_20240609110859_edb,142.317657,530.010254,0.731481,0.000000,0.000000,0.000000,0.5,0.80,1.018009,1.000000,36.28,35.70,23.27,22.49,22.49,99.06,155.9,128.1,17.9,3,3.923,11:05:25,2024-06-09,0.03,1,-0.000,-0.002,-0.012,0.185,0.035,-0.380,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.421540,2.407982,1.659591,0.874427,0.292225,-0.007797,0.346689,0.109710,142.317657,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240609110859_edb,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-09T08:42:34.079Z
4,11:09:32,2024-06-09,untrlues_fasy,rebecca,,002,129,025,0.048612,2.915423,0.047814,0.806848,1.033022,1.017881,2.673243,1.640221,10.276043,10.428906,26.987806,0.298530,1.800000,PSF-01225_20240609110932_5a7,148.119812,642.718811,0.769542,0.000000,0.000000,0.000000,0.5,0.80,1.101049,1.000000,35.99,35.46,23.29,22.12,22.12,99.05,155.9,130.9,16.1,4,3.921,11:05:25,2024-06-09,0.03,1,-0.001,-0.004,-0.017,-0.268,-0.900,-1.689,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.421227,2.407591,1.659805,0.881235,0.291962,-0.012323,0.349419,0.109779,148.119812,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240609110932_5a7,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-09T08:42:34.079Z
5,11:10:58,2024-06-09,untrlues_fasy,rebecca,,004,045,025,0.130720,2.914678,0.125109,2.080489,1.062882,1.023825,2.679057,1.616175,10.335537,10.729812,27.045130,0.298530,1.800000,PSF-01225_20240609111058_b76,129.194138,574.530945,0.775131,0.000000,0.000000,0.000000,0.5,0.80,1.066516,1.000000,36.95,35.60,23.33,22.16,22.16,99.06,155.8,133.2,14.5,3,3.920,11:05:25,2024-06-09,0.03,1,-0.002,-0.003,-0.012,-0.042,-0.201,-0.316,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.421398,2.408856,1.659029,0.887109,0.291561,-0.012313,0.356539,0.109682,129.194138,0.000210,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240609111058_b76,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-09T08:42:34.079Z
6,11:12:22,2024-06-09,untrlues_fasy,rebecca,,004,063,025,0.031775,2.914298,0.031432,0.543356,1.059551,1.049347,2.739047,1.679497,10.593610,10.696616,27.651852,0.298530,1.800000,PSF-01225_20240609111222_ce6,196.759705,595.367432,0.669515,0.000000,0.000000,0.000000,0.5,0.80,1.218473,1.000000,36.71,36.36,23.39,22.52,22.52,99.05,155.8,131.7,15.5,5,3.917,11:05:25,2024-06-09,0.03,1,-0.001,0.000,-9999.000,-1.105,1.219,-9999.000,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.422389,2.408527,1.658633,0.883354,0.290888,-0.008815,0.363390,0.110467,196.759705,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240609111222_ce6,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-09T08:42:34.079Z
7,11:12:59,2024-06-09,untrlues_fasy,rebecca,,004,063,025,0.041060,2.915999,0.040490,0.708533,1.081071,1.067787,2.780647,1.699576,10.779816,10.913926,28.071960,0.298530,1.800000,PSF-01225_20240609111259_ac0,176.126358,575.672119,0.694051,0.000000,0.000000,0.000000,0.5,0.80,1.371470,1.000000,37.37,36.91,23.42,22.77,22.77,99.05,156.0,145.5,6.7,5,3.917,11:05:25,2024-06-09,0.03,1,0.000,0.001,-9999.000,0.121,2.016,-9999.000,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.423114,2.409393,1.660407,0.917670,0.290465,-0.006384,0.366334,0.110742,176.126358,0.000213,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240609111259_ac0,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-09T08:42:34.079Z
8,11:14:16,2024-06-09,untrlues_fasy,rebecca,,004,069,025,0.110527,2.912379,0.106486,1.828552,1.070546,1.036161,2.738791,1.668245,10.460488,10.807616,27.649261,0.298530,1.800000,PSF-01225_20240609111416_d0a,144.267792,468.113434,0.691810,0.000000,0.000000,0.000000,0.5,0.80,1.032554,1.000000,36.84,35.65,23.50,22.52,22.52,99.05,155.6,135.7,12.8,4,3.913,11:05:25,2024-06-09,0.03,1,-0.003,-0.004,-0.012,-0.643,-1.591,-3.483,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.421449,2.408676,1.656641,0.893059,0.289560,-0.010162,0.372423,0.109888,144.267792,0.000208,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240609111416_d0a,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-09T08:42:34.079Z
9,11:16:53,2024-06-09,untrlues_fasy,rebecca,,003,002,025,0.041179,2.913972,0.040605,0.730260,1.044262,1.030543,2.791232,1.746971,10.403612,10.542107,28.178255,0.298530,1.800000,PSF-01225_20240609111653_18c,151.448608,679.749023,0.777199,0.000000,0.000000,0.000000,0.5,0.80,1.195091,1.000000,35.57,35.10,23.67,22.83,22.83,99.06,155.8,146.0,6.2,4,3.911,11:16:28,2024-06-09,-0.12,1,0.002,0.003,0.020,-0.656,-1.973,-3.917,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.420697,2.407184,1.658294,0.919076,0.287602,-0.008544,0.384768,0.109968,151.448608,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240609111653_18c,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-09T08:42:34.079Z
10,11:17:45,2024-06-09,untrlues_fasy,rebecca,,003,058,025,0.000661,2.915410,0.000661,0.012301,1.047474,1.047243,2.855009,1.807536,10.571510,10.573841,28.820210,0.298530,1.800000,PSF-01225_20240609111745_a33,140.121109,488.323334,0.713057,0.000000,0.000000,0.000000,0.5,0.80,1.082167,1.000000,35.56,35.55,23.72,23.21,23.21,99.06,155.9,145.8,6.5,4,3.910,11:16:28,2024-06-09,-0.12,1,-0.003,-0.003,0.020,-0.085,-0.359,-0.952,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.421290,2.407171,1.659791,0.918565,0.286996,-0.004855,0.388790,0.109933,140.121109,0.000214,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240609111745_a33,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-09T08:42:34.079Z
