SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,tree_number,wb_temp,treatment_time,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,08:32:19,2024-07-11,Hainich_TSM,Sharath,,008,020,15min,0.333072,2.915431,0.298922,1.914775,2.063312,2.027503,2.687015,0.623703,20.327175,20.686182,26.939253,0.298530,1.800000,PSF-01225_20240711083219_43f,132.632019,502.577667,0.736097,0.000000,0.000000,0.000000,0.5,0.80,1.662609,1.000000,72.79,71.53,23.09,22.21,22.21,99.74,155.9,143.7,7.9,6,4.102,08:22:45,2024-07-11,-0.33,1,0.004,0.001,0.012,-0.312,0.163,0.093,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.465816,2.453814,1.659815,0.913078,0.294390,-0.008959,0.326481,0.111242,132.632019,0.000215,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711083219_43f,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
2,08:34:35,2024-07-11,Hainich_TSM,Sharath,,008,020,15min,0.319624,2.914897,0.288040,2.091647,2.083999,2.044881,2.790501,0.706501,20.504324,20.896572,27.980764,0.298530,1.800000,PSF-01225_20240711083435_34b,128.303284,483.964203,0.734891,0.000000,0.000000,0.000000,0.5,0.80,1.804811,1.000000,72.15,70.79,23.40,22.83,22.83,99.73,155.9,134.8,13.5,6,4.095,08:33:13,2024-07-11,-0.02,1,-0.000,-0.000,0.003,-0.274,-0.251,-0.068,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.464905,2.452630,1.659257,0.891032,0.290737,-0.005441,0.337772,0.111590,128.303284,0.000214,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711083435_34b,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
3,08:37:25,2024-07-11,Hainich_TSM,Sharath,,001,020,15min,0.005290,2.914505,0.005281,0.040995,2.052145,2.051377,2.807507,0.755363,20.568537,20.576229,28.150021,0.298530,1.800000,PSF-01225_20240711083725_f22,124.521729,537.386292,0.768283,0.000000,0.000000,0.000000,0.5,0.80,1.645553,1.000000,69.56,69.53,23.75,22.93,22.93,99.73,155.8,128.4,17.6,5,4.094,08:33:13,2024-07-11,-0.02,1,0.002,0.000,-0.003,-0.061,-0.142,0.526,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.463360,2.449462,1.658849,0.875261,0.286695,-0.008360,0.351404,0.111035,124.521729,0.000213,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711083725_f22,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
4,08:38:38,2024-07-11,Hainich_TSM,Sharath,,002,020,15min,0.048551,2.914587,0.047756,0.362848,2.066627,2.059838,2.805941,0.739314,20.652122,20.720198,28.132624,0.298530,1.800000,PSF-01225_20240711083838_d23,117.304443,587.243225,0.800246,0.000000,0.000000,0.000000,0.5,0.80,2.202034,1.000000,69.57,69.34,23.86,22.92,22.92,99.74,155.8,138.7,11.0,7,4.091,08:33:13,2024-07-11,-0.02,1,-0.000,-0.001,-0.003,-0.055,-0.120,-0.002,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.463117,2.449461,1.658933,0.900640,0.285387,-0.009799,0.357147,0.112112,117.304443,0.000214,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711083838_d23,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
5,08:39:21,2024-07-11,Hainich_TSM,Sharath,,003,020,15min,0.004277,2.916176,0.004271,0.035790,2.075186,2.074517,2.890095,0.814910,20.800184,20.806890,28.977600,0.298530,1.800000,PSF-01225_20240711083921_848,120.349648,603.157654,0.800467,0.000000,0.000000,0.000000,0.5,0.80,2.022908,1.000000,69.59,69.56,23.93,23.41,23.41,99.74,156.0,132.3,15.2,6,4.088,08:33:13,2024-07-11,-0.02,1,0.001,0.001,-0.003,-0.093,-0.133,-0.136,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.463376,2.449472,1.660591,0.884687,0.284647,-0.004914,0.360451,0.111716,120.349648,0.000213,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711083921_848,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
6,08:41:07,2024-07-11,Hainich_TSM,Sharath,,004,020,15min,-0.010367,2.914999,-0.010404,-0.092746,2.062991,2.064726,2.929936,0.866945,20.699837,20.682442,29.373972,0.298530,1.800000,PSF-01225_20240711084107_72f,130.199783,614.745483,0.788205,0.000000,0.000000,0.000000,0.5,0.80,2.624047,1.000000,68.53,68.59,24.09,23.64,23.64,99.75,155.9,140.7,9.8,8,4.087,08:33:13,2024-07-11,-0.02,1,-0.001,0.001,-0.003,0.101,0.007,0.024,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.462183,2.448169,1.659364,0.905517,0.282864,-0.004121,0.368675,0.113132,130.199783,0.000210,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711084107_72f,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
7,08:42:30,2024-07-11,Hainich_TSM,Sharath,,005,020,15min,-0.016621,2.915607,-0.016716,-0.155252,2.084782,2.087684,2.987587,0.902805,20.930843,20.901745,29.953152,0.298530,1.800000,PSF-01225_20240711084230_2da,133.056519,501.007324,0.734422,0.000000,0.000000,0.000000,0.5,0.80,1.730946,1.000000,68.74,68.83,24.21,23.96,23.96,99.74,156.0,126.8,18.7,6,4.086,08:33:13,2024-07-11,-0.02,1,-0.001,0.000,-0.002,-0.056,-0.371,-0.895,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.462463,2.448405,1.659998,0.871375,0.281459,-0.001816,0.375086,0.111415,133.056519,0.000216,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711084230_2da,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
8,08:43:13,2024-07-11,Hainich_TSM,Sharath,,006,020,15min,-0.018351,2.916717,-0.018467,-0.169390,2.088737,2.091901,2.980414,0.891677,20.972387,20.940668,29.880186,0.298530,1.800000,PSF-01225_20240711084313_530,142.364502,600.396057,0.762882,0.000000,0.000000,0.000000,0.5,0.80,2.070955,1.000000,68.58,68.69,24.28,23.92,23.92,99.75,156.1,140.8,9.8,7,4.085,08:33:13,2024-07-11,-0.02,1,0.001,0.001,-0.004,-0.108,-0.105,-0.459,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.462283,2.448214,1.661157,0.905768,0.280692,-0.003082,0.378329,0.112047,142.364502,0.000213,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711084313_530,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
