flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01225_20240711090847_cf0,09:08:47,2024-07-11,PFA-01090,PSA-01092,PSF-01225,567.986755,115.803482,0.796116,0.000000,0.000000,0.000000,10.958399

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,264.641052,6002.298828
0.010000,411.981934,6002.298828
0.020000,479.825745,6002.298828
0.030000,506.482605,6002.298828
0.040000,518.151978,6002.298828
0.050000,524.929382,6002.298828
0.060000,529.762390,6002.298828
0.070000,533.626892,6002.298828
0.080000,536.905640,6002.298828
0.090000,539.821045,6002.298828
0.100000,542.491455,6002.298828
0.110000,544.927246,6002.298828
0.120000,547.176025,6002.298828
0.130000,549.313538,6002.298828
0.140000,551.310547,6002.298828
0.150000,553.158752,6002.298828
0.160000,554.840698,6002.298828
0.170000,556.399597,6002.298828
0.180000,557.816833,6002.298828
0.190000,559.103271,6002.298828
0.200000,560.265198,6002.298828
0.210000,561.274048,6002.298828
0.220000,562.188171,6002.298828
0.230000,563.034668,6002.298828
0.240000,563.788147,6002.298828
0.250000,564.388977,6002.298828
0.260000,564.971558,6002.298828
0.270000,565.472961,6002.298828
0.280000,565.908936,6002.298828
0.290000,566.293030,6002.298828
0.300000,566.646667,6002.298828
0.310000,566.905273,6002.298828
0.320000,567.153076,6002.298828
0.330000,567.336548,6002.298828
0.340000,567.521118,6002.298828
0.350000,567.636597,6002.298828
0.360000,567.747498,6002.298828
0.370000,567.827576,6002.298828
0.380000,567.875854,6002.298828
0.390000,567.946655,6002.298828
0.400000,567.986755,6002.298828
0.410000,567.955261,6002.298828
0.420000,567.945251,6002.298828
0.430000,567.904480,6002.298828
0.440000,567.837585,6002.298828
0.450000,567.767517,6002.298828
0.460000,567.703857,6002.298828
0.470000,567.627686,6002.298828
0.480000,567.528259,6002.298828
0.490000,567.423096,6002.298828
0.500000,567.338013,6002.298828
0.510000,567.170593,6002.298828
0.520000,567.032227,6002.298828
0.530000,566.900635,6002.298828
0.540000,566.781189,6002.298828
0.550000,566.624512,6002.298828
0.560000,566.466064,6002.298828
0.570000,566.316956,6002.298828
0.580000,566.159973,6002.298828
0.590000,566.033386,6002.298828
0.600000,565.912842,6002.298828
0.610000,565.705444,6002.298828
0.620000,565.565613,6002.298828
0.630000,565.413574,6002.298828
0.640000,565.246582,6002.298828
0.650000,565.084595,6002.298828
0.660000,564.917542,6002.298828
0.670000,564.779907,6002.298828
0.680000,564.628235,6002.298828
0.690000,564.461975,6002.298828
0.700000,564.352844,6002.298828
0.710000,564.169434,6002.298828
0.720000,564.009521,6002.298828
0.730000,563.852539,6002.298828
0.740000,563.693420,6002.298828
0.750000,563.521057,6002.298828
0.760000,563.385132,6002.298828
0.770000,563.214172,6002.298828
0.780000,563.065063,6002.298828
0.790000,562.920227,6002.298828
