"sample_id","campaign","date","leaf_area_cm2","leaf_mass_no_wax_g","leaf_mass_g","petri_dish_mass_g","dry_weight_g","real_time","elapsed_time_min","year"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.9397,12.6049,0.330500000000001,2024-05-29 08:32:00,0,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.9252,12.6049,0.330500000000001,2024-05-29 08:34:00,2,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.893,12.6049,0.330500000000001,2024-05-29 08:40:00,8,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.8762,12.6049,0.330500000000001,2024-05-29 08:48:00,16,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.8685,12.6049,0.330500000000001,2024-05-29 08:56:00,24,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.8617,12.6049,0.330500000000001,2024-05-29 09:07:00,35,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.8561,12.6049,0.330500000000001,2024-05-29 09:19:00,47,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.852,12.6049,0.330500000000001,2024-05-29 09:28:00,56,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.8483,12.6049,0.330500000000001,2024-05-29 09:37:00,65,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.8431,12.6049,0.330500000000001,2024-05-29 09:49:00,77,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.8339,12.6049,0.330500000000001,2024-05-29 10:05:00,93,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.8255,12.6049,0.330500000000001,2024-05-29 10:21:00,109,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.8119,12.6049,0.330500000000001,2024-05-29 10:55:00,143,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.7974,12.6049,0.330500000000001,2024-05-29 11:38:00,186,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.7696,12.6049,0.330500000000001,2024-05-29 13:07:00,275,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.7474,12.6049,0.330500000000001,2024-05-29 14:27:00,355,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.7299,12.6049,0.330500000000001,2024-05-29 15:33:00,421,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.7218,12.6049,0.330500000000001,2024-05-29 16:06:00,454,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.7155,12.6049,0.330500000000001,2024-05-29 16:32:00,480,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.7063,12.6049,0.330500000000001,2024-05-29 17:02:00,510,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.7015,12.6049,0.330500000000001,2024-05-29 17:32:00,540,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.6946,12.6049,0.330500000000001,2024-05-29 18:01:00,569,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.6879,12.6049,0.330500000000001,2024-05-29 18:32:00,600,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.681,12.6049,0.330500000000001,2024-05-29 19:00:00,628,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.6751,12.6049,0.330500000000001,2024-05-29 19:31:00,659,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.6687,12.6049,0.330500000000001,2024-05-29 20:01:00,689,"2024"
"FREX_05","1","2024-05-29",78.3336,13.9354,13.6242,12.6049,0.330500000000001,2024-05-29 23:41:00,909,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.7778,12.6338,0.5869,2024-05-29 08:39:00,0,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.7659,12.6338,0.5869,2024-05-29 08:44:00,5,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.7508,12.6338,0.5869,2024-05-29 08:50:00,11,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.7413,12.6338,0.5869,2024-05-29 08:57:00,18,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.7272,12.6338,0.5869,2024-05-29 09:08:00,29,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.7189,12.6338,0.5869,2024-05-29 09:18:00,39,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.7111,12.6338,0.5869,2024-05-29 09:29:00,50,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.7049,12.6338,0.5869,2024-05-29 09:38:00,59,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.6981,12.6338,0.5869,2024-05-29 09:49:00,70,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.688,12.6338,0.5869,2024-05-29 10:06:00,87,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.6791,12.6338,0.5869,2024-05-29 10:22:00,103,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.6627,12.6338,0.5869,2024-05-29 10:54:00,135,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.6411,12.6338,0.5869,2024-05-29 11:39:00,180,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.6051,12.6338,0.5869,2024-05-29 13:07:00,268,"2024"
"FREX_06","1","2024-05-29",149.973,14.7754,14.5747,12.6338,0.5869,2024-05-29 14:28:00,349,"2024"
